Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Facing,Facing_PriceCode,Road Access,Price
"Bhaisepati, L'",L,31597883.37,Bhaisepati,39830061.41,4.1,4,NE,35380083.03,12,38000000
"Sitapaila, K'",K,33377333.82,Sitapaila,31149607.91,6.2,5,W,31258615.52,20,47000000
"Imadol, L'",L,31597883.37,Imadol,25687202.2,4,4,S,32245048.02,13,34000000
"Attarkhel, K'",K,33377333.82,Attarkhel,33070303.47,3.2,8,E,32747439.5,13,30000000
"Syuchatar, K'",K,33377333.82,Syuchatar,27880494.01,3.2,4,N,30729924.74,14,22000000
"Bhaisepati, L'",L,31597883.37,Bhaisepati,39830061.41,6,4,S,32245048.02,13,50000000
"Lazimpat, K'",K,33377333.82,Lazimpat,33983809.87,5.2,6,W,31258615.52,15,60000000
"Budhanilkantha, K'",K,33377333.82,Budhanilkantha,39650175.48,9.2,4,W,31258615.52,20,62000000
"Lambagar, K'",K,33377333.82,Lambagar,31314444.85,4,6,S,32245048.02,11,26000000
"Baluwakhani, K'",K,33377333.82,Baluwakhani,31485833.64,3.1,6,W,31258615.52,16,27500000
"Mandikhatar, K'",K,33377333.82,Mandikhatar,33778245.74,4,4,S,32245048.02,20,42500000
"Danchhi, K'",K,33377333.82,Danchhi,33377333.82,3.1,2,NE,35380083.03,20,12000000
"Dhapasi, K'",K,33377333.82,Dhapasi,35561025.73,9,6,E,32747439.5,12,47000000
"Jagdol, K'",K,33377333.82,Jagdol,31161212.56,3.2,5,E,32747439.5,13,9000000
"Bhaisepati, L'",L,31597883.37,Bhaisepati,39830061.41,4.2,5,SE,33504792.57,13,45000000
"Mandikhatar, K'",K,33377333.82,Mandikhatar,33778245.74,3.1,6,W,31258615.52,13,26500000
"Mandikhatar, K'",K,33377333.82,Mandikhatar,33778245.74,5,6,E,32747439.5,13,38500000
"Pepsicola, K'",K,33377333.82,Pepsicola,36370158.96,7,5,S,32245048.02,20,67500000
"Bhaisepati, L'",L,31597883.37,Bhaisepati,39830061.41,4.2,6,SE,33504792.57,20,40000000
"Khumaltar, L'",L,31597883.37,Khumaltar,35811618.07,4.2,4,S,32245048.02,14,39000000
"Raniban, K'",K,33377333.82,Raniban,35515185.46,4.2,6,SW,37155594.23,14,31000000
"Kusunti, L'",L,31597883.37,Kusunti,31340991.25,4.2,4,W,31258615.52,11,40000000
"Sano bharyang, K'",K,33377333.82,Sano Bharyang,33485287.52,3.3,7,NW,34218387,13,36000000
"Aakasedhara, K'",K,33377333.82,Aakasedhara,31751795.25,5,6,SW,37155594.23,12,31500000
"Hattiban, L'",L,31597883.37,Hattiban,35023601.02,4.1,7,NE,35380083.03,13,40000000
"Nakhipot, L'",L,31597883.37,Nakhipot,33737087.32,6.94,5,W,31258615.52,13,32500000
"Tokha, K'",K,33377333.82,Tokha,28346274.65,2.2,3,NW,34218387,13,10000000
"Dharmasthali, K'",K,33377333.82,Dharmasthali,29876667.01,5,8,NE,35380083.03,36,26500000
"Bhaisepati, L'",L,31597883.37,Bhaisepati,39830061.41,3.5,4,S,32245048.02,15,45000000
"Golfutar, K'",K,33377333.82,Golfutar,37927521.49,4,4,E,32747439.5,13,32500000
"Sitapaila, K'",K,33377333.82,Sitapaila,31149607.91,3,2,W,31258615.52,13,14000000
"Kapan, K'",K,33377333.82,Kapan,25155878.88,3,2,S,32245048.02,13,13500000
"Hepali Height, K'",K,33377333.82,Hepali Height,36051111.34,4,4,NE,35380083.03,13,33500000
"Budhanilkantha, K'",K,33377333.82,Budhanilkantha,39650175.48,5,6,SW,37155594.23,14,36000000
"Yetkha, K'",K,33377333.82,Yetkha,33377333.82,2.3,8,S,32245048.02,16,32000000
"Sitapaila, K'",K,33377333.82,Sitapaila,31149607.91,5,5,E,32747439.5,13,65000000
"Pasikot, K'",K,33377333.82,Pasikot,31132444.61,4.4,4,NE,35380083.03,15,45000000
"Gothatar, K'",K,33377333.82,Gothatar,32267017.8,3.3,5,NW,34218387,28,24000000
"Nakhipot, L'",L,31597883.37,Nakhipot,33737087.32,4,7,SE,33504792.57,12,36000000
"Imadol, L'",L,31597883.37,Imadol,25687202.2,3,3,S,32245048.02,13,21000000
"Budhanilkantha, K'",K,33377333.82,Budhanilkantha,39650175.48,6,4,W,31258615.52,13,46000000
"Ekatabasti, K'",K,33377333.82,Ekatabasti,31739608.13,4.1,4,W,31258615.52,16,36000000
"Mandikhatar, K'",K,33377333.82,Mandikhatar,33778245.74,4.3,5,E,32747439.5,13,34500000
"Dhapasi, K'",K,33377333.82,Dhapasi,35561025.73,7,5,NE,35380083.03,13,44000000
"Lolang, K'",K,33377333.82,Lolang,26742083.64,3,2,E,32747439.5,13,13800000
"Ekatabasti, K'",K,33377333.82,Ekatabasti,31739608.13,3,5,S,32245048.02,13,18500000
