Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Road Access,Facing,Facing_PriceCode,Price
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,4.1,4,12,NE,38939095.74,38000000
"'Sitapaila, K'",K,40271779.3,Sitapaila,32122471.91,6.2,5,20,W,35035732.01,47000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,4,4,13,S,38378801.08,34000000
"'Attarkhel, K'",K,40271779.3,Attarkhel,30000000,3.2,8,13,E,40021095.89,30000000
"'Syuchatar, K'",K,40271779.3,Syuchatar,27519230.77,3.2,4,14,N,36524064.17,22000000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,6,4,13,S,38378801.08,50000000
"'Lazimpat, K'",K,40271779.3,Lazimpat,54400000,5.2,6,15,W,35035732.01,60000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,9.2,4,20,W,35035732.01,62000000
"'Lambagar, K'",K,40271779.3,Lambagar,21000000,4,6,11,S,38378801.08,26000000
"'Baluwakhani, K'",K,40271779.3,Baluwakhani,26636363.64,3.1,6,16,W,35035732.01,27500000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,4,4,20,S,38378801.08,42500000
"'Danchhi, K'",K,40271779.3,Danchhi,13500000,3.1,2,20,NE,38939095.74,12000000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,9,6,12,E,40021095.89,47000000
"'Jagdol, K'",K,40271779.3,Jagdol,9000000,3.2,5,13,E,40021095.89,9000000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,4.2,5,13,SE,41320000,45000000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,3.1,6,13,W,35035732.01,26500000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,5,6,13,E,40021095.89,38500000
"'Pepsicola, K'",K,40271779.3,Pepsicola,37138888.89,7,5,20,S,38378801.08,67500000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,4.2,6,20,SE,41320000,40000000
"'Khumaltar, L'",L,34535434.84,Khumaltar,38023809.52,4.2,4,14,S,38378801.08,39000000
"'Raniban, K'",K,40271779.3,Raniban,37400000,4.2,6,14,SW,39995597.48,31000000
"'Kusunti, L'",L,34535434.84,Kusunti,47312500,4.2,4,11,W,35035732.01,40000000
"'Golfutar, K'",K,40271779.3,Golfutar,47734782.61,9,6,12,S,38378801.08,125000000
"'Sano bharyang, K'",K,40271779.3,Sano Bharyang,35300000,3.3,7,13,NW,36240206.19,36000000
"'Aakasedhara, K'",K,40271779.3,Aakasedhara,31000000,5,6,12,SW,39995597.48,31500000
"'Hattiban, L'",L,34535434.84,Hattiban,39415384.62,4.1,7,13,NE,38939095.74,40000000
"'Nakhipot, L'",L,34535434.84,Nakhipot,39136363.64,6.94,5,13,W,35035732.01,32500000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,2.2,3,13,NW,36240206.19,10000000
"'Dharmasthali, K'",K,40271779.3,Dharmasthali,19500000,5,8,36,NE,38939095.74,26500000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,3.5,4,15,S,38378801.08,45000000
"'Golfutar, K'",K,40271779.3,Golfutar,47734782.61,4,4,13,E,40021095.89,32500000
"'Sitapaila, K'",K,40271779.3,Sitapaila,32122471.91,3,2,13,W,35035732.01,14000000
"'Manbhawan, L'",L,34535434.84,Manbhawan,41000000,7.2,17,13,W,35035732.01,62000000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,3,2,13,S,38378801.08,13500000
"'Hepali Height, K'",K,40271779.3,Hepali Height,38807142.86,4,4,13,NE,38939095.74,33500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,5,6,14,SW,39995597.48,36000000
"'Machhapokhari, K'",K,40271779.3,Machhapokhari,37333333.33,3,16,20,W,35035732.01,33500000
"'Yetkha, K'",K,40271779.3,Yetkha,32000000,2.3,8,16,S,38378801.08,32000000
"'Sitapaila, K'",K,40271779.3,Sitapaila,32122471.91,5,5,13,E,40021095.89,65000000
"'Pasikot, K'",K,40271779.3,Pasikot,37148571.43,4.4,4,15,NE,38939095.74,45000000
"'Gothatar, K'",K,40271779.3,Gothatar,30709090.91,3.3,5,28,NW,36240206.19,24000000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,15.2,6,24,W,35035732.01,65000000
"'Nakhipot, L'",L,34535434.84,Nakhipot,39136363.64,4,7,12,SE,41320000,36000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3,3,13,S,38378801.08,21000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,13,4,13,E,40021095.89,105000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,6,4,13,W,35035732.01,46000000
"'Ekatabasti, K'",K,40271779.3,Ekatabasti,28400000,4.1,4,16,W,35035732.01,36000000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,4.3,5,13,E,40021095.89,34500000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,7,5,13,NE,38939095.74,44000000
"'Lolang, K'",K,40271779.3,Lolang,19860000,3,2,13,E,40021095.89,13800000
"'Ekatabasti, K'",K,40271779.3,Ekatabasti,28400000,3,5,13,S,38378801.08,18500000
"'Baluwatar, K'",K,40271779.3,Baluwatar,77346153.85,8,3,10,S,38378801.08,80000000
"'Radhe Radhe, B'",B,29873684.19,Radhe Radhe,37833333.33,2.2,4,24,N,36524064.17,24000000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,5,6,13,E,40021095.89,37800000
"'Pepsicola, K'",K,40271779.3,Pepsicola,37138888.89,3.2,6,20,E,40021095.89,24000000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,3.1,2,13,SE,41320000,16800000
"'Balkot, B'",B,29873684.19,Balkot,33999999.9,6.52,4,20,S,38378801.08,28000000
"'Putalisadak, K'",K,40271779.3,Putalisadak,63750000,3,12,13,E,40021095.89,77500000
"'Thamel, K'",K,40271779.3,Thamel,38500000,3,5,13,SE,41320000,55000000
