Location,Land Area,Beadrooms,Floor,Facing,Road Acess,Price
"'Imadol, L'",3.3,5,2,E,13,28500000
"'Tikathali, L'",4.1,6,2,W,13,37500000
"'Tikathali, L'",4,6,2,E,20,35000000
"'Imadol, L'",4.5,6,2,S,13,47000000
"'Khumaltar, L'",4,5,2,S,13,38500000
"'Dillibazar, K'",4.3,4,2,W,20,60000000
"'Imadol, L'",3.5,5,2,N,13,29900000
"'Tikathali, L'",3,6,2,S,13,29000000
"'Tikathali, L'",3.1,5,2,E,13,29000000
"'Imadol, L'",4.5,5,2,SE,20,45000000
"'Gongabu, K'",5,6,2,N,13,42000000
"'Balkot, B'",14,6,2,N,13,90000000
"'Gongabu, K'",4,6,2,N,13,32500000
"'Chunikhel, K'",4.1,6,2,S,13,33500000
"'Gongabu, K'",4.5,4,2,SE,20,45000000
"'Tikathali, L'",3,5,2,N,13,25500000
"'Imadol, L'",3,6,2,S,13,23000000
"'Imadol, L'",3.3,6,2,S,13,37000000
"'Bhaisepati, L'",4.5,4,2,NW,13,32500000
"'Chunikhel, K'",3.1,5,2,SW,13,31500000
"'Dhaneshwor, K'",5,3,2,E,12,28000000
"'Wasik, K'",4.2,5,2,NE,20,43500000
"'Gongabu, K'",5,4,2,W,10,37500000
"'Tikathali, L'",3.3,5,2,N,20,29500000
"'Bhaisepati, L'",6,4,2,E,13,57500000
"'Budhgar, K'",3.51,7,2,E,16,70000000
"'Bhangal, K'",3.5,3,2,S,10,30000000
"'Hattiban, L'",3,3,2,SE,13,20000000
"'Maharajgunj, K'",4,5,2,E,13,90000000
"'Baneshwor, K'",12,2,2,NE,20,120000000
"'Dhapakhel, L'",6.5,4,2,E,16,32000000
"'Budhanilkantha, K'",4.2,3,2,W,13,38500000
"'Godawari, L'",3,2,2,E,20,17000000
"'Gochaur, L'",4.3,4,2,NW,26,12000000
"'Lubhu, L'",2.5,5,2,NE,13,17500000
"'Imadol, L'",5.1,7,2,W,13,40000000
"'Imadol, L'",2.5,5,2,E,13,20000000
"'Hattiban, L'",4.5,3,2,S,13,39500000
"'Bhaisepati, L'",7,6,2,W,13,32500000
"'Sinamangal, K'",10,4,2,W,20,115000000
"'Setipakha, L'",2.5,4,2,NE,13,18900000
"'Bhaisepati, L'",3.5,4,2,E,16,26000000
"'Bhaisepati, L'",3.3,6,2,NE,13,30000000
"'Bhaisepati, L'",4,5,2,S,13,34500000
"'Karyabinayak, L'",4,5,2,SW,13,34000000
"'Bhaisepati, L'",3.5,5,2,E,16,26000000
"'Sital Height, L'",3,5,2,NE,13,23000000
"'Lubhu, L'",3.5,3,2,W,20,14500000
"'Imadol, L'",4.5,6,2,N,13,49500000
"'Sonakothi, L'",6.1,7,2,E,20,50000000
"'Nakhipot, L'",5.3,6,2,NW,13,47500000
"'Imadol, L'",3.1,5,2,E,20,29000000
"'Tikathali, L'",3,6,2,E,20,23000000
"'Khumaltar, L'",4.5,6,2,W,20,41500000
"'Syuchatar, K'",4.2,6,2,SW,20,35000000
"'Balkot, B'",4,4,2,E,20,40000000
"'Dadhikot, B'",6,5,2,NE,13,26000000
"'Nayabazar, K'",12,3,2,S,20,102000000
"'Chyasundol, K'",3.3,3,2,S,22,27500000
"'Imadol, L'",4,4,2,N,13,46000000
"'Tikathali, L'",2.2,5,2,N,13,22500000
"'Harisiddhi, L'",3.1,5,2,E,13,24000000
"'Harisiddhi, L'",3,6,2,W,20,31500000
"'Imadol, L'",3.3,5,2,S,13,37500000
"'Imadol, L'",3,6,2,NE,11,20700000
"'Thali, K'",3,4,2,N,20,18500000
"'Tikathali, L'",3,5,2,E,13,29000000
"'Satdobato, L'",19,5,2,SE,13,150000000
"'Dhapakhel, L'",6,9,2.5,NW,13,55000000
"'Karuna Hospital, K'",4.5,9,2.5,SE,14,35000000
"'Imadol, L'",2.5,3,2.5,S,13,21500000
"'Balkot, B'",5,3,2.5,NE,10,25000000
"'Harisiddhi, L'",3.3,7,2.5,E,20,32500000
"'Gothatar, K'",3.5,6,2.5,n,20,34000000
"'Hattiban, L'",5.2,6,2.5,SW,15,45000000
"'Balkot, B'",3.2,5,2.5,N,36,26000000
"'Balkot, B'",3.2,7,2.5,N,13,23500000
"'Balkot, B'",3.2,6,2.5,W,13,27500000
"'Tokha, K'",4,2,2.5,E,12,26000000
"'Imadol, L'",3.2,7,2.5,NE,20,27500000
"'Phutung, K'",3,6,2.5,W,20,16500000
"'Sitapaila, K'",6,9,2.5,S,13,35000000
"'Balkot, B'",3.2,5,2.5,NW,13,24000000
"'Dadhikot, B'",4,5,2.5,S,13,27000000
"'Balkot, B'",3,5,2.5,E,13,21000000
"'Chardobato, B'",4.3,7,2.5,S,12,31000000
"'Dhunchepakha, B'",4.3,6,2.5,NW,13,33000000
"'Sitapakha, L'",3,5,2.5,NW,12,23500000
"'Imadol, L'",2.3,4,2.5,N,10,24000000
