Location,Land Area,Beadrooms,Floor,Facing,Road Acess,Price
"'Manmaiju, K'",5,9,3,S,13,24000000
"'Syuchatar, K'",4.2,8,3,NE,12,23000000
"'Imadol, L'",6.2,5,3,W,13,47500000
"'Lubhu, L'",5.2,5,3,NW,16,42500000
"'Imadol, L'",3.2,6,3,S,13,29500000
"'Imadol, L'",3.1,5,3,S,13,33500000
"'New Baneshwor, K'",2.2,7,3,E,4,27000000
"'Imadol, L'",3,7,3,W,20,32500000
"'Baniyatar, K'",2.2,5,3,NE,10,25000000
"'Pepsicola, K'",5.5,1,3,SE,26,95000000
"'Pepsicola, K'",2.3,6,3,E,26,32500000
"'Chabahil, K'",4.5,10,3,E,8,40000000
"'Imadol, L'",4.5,5,3,NE,13,49500000
"'Tikathali, L'",2.3,5,3,E,13,22000000
"'Tikathali, L'",2.3,5,3,S,13,22500000
"'Imadol, L'",3,5,3,NE,13,22500000
"'Tikathali, L'",3,6,3,E,13,25000000
"'Imadol, L'",5,6,3,W,13,39500000
"'Imadol, L'",3.1,5,3,N,13,32500000
"'Imadol, L'",4,6,3,N,13,45500000
"'Imadol, L'",3.1,4,3,N,13,32500000
"'Dhaneshwor, K'",4,8,3,S,10,29000000
"'Dhalmal, K'",3.1,5,3,S,13,30000000
"'Imadol, L'",3,3,3,NE,12,27000000
"'Tikathali, L'",3,6,3,NW,13,23500000
"'Suntol, L'",4,6,3,E,13,34000000
"'Imadol, L'",3,6,3,E,13,26500000
"'Imadol, L'",3,5,3,N,13,35000000
"'Imadol, L'",3.5,5,3,W,13,34500000
"'Imadol, L'",3,5,3,NE,13,35000000
"'Tikathali, L'",3.1,5,3,E,13,32500000
"'Hattiban, L'",3,6,3,W,14,28000000
"'Hattiban, L'",3,5,3,S,13,33000000
"'Imadol, L'",3,6,3,SE,13,23500000
"'Manmaiju, K'",4,7,3,S,12,32500000
"'Dapasi, K'",4,4,3,NW,20,50000000
"'Imadol, L'",3,9,3,S,13,29000000
"'Imadol, L'",4,4,3,S,13,46500000
"'Imadol, L'",5,8,3,S,13,51000000
"'Sanagaun, L'",3,6,3,NE,13,27000000
"'Sanagaun, L'",4,5,3,NE,20,33000000
"'Balkot, B'",9,7,3,NW,22,42500000
"'Imadol, L'",3,5,3,E,14,31500000
"'Ektabasti, K'",3.5,5,3,NW,16,24000000
"'Tikathali, L'",3.5,6,3,E,13,29000000
"'Pepsicola, K'",2,6,3,SW,16,25000000
"'Sitapaila, K'",6,10,3,W,8,30000000
"'Pepsicola, K'",4.3,9,3,NE,16,45000000
"'Siddhipur, L'",3,2,3,S,12,25000000
"'Badegaun, L'",3,3,3,E,13,16500000
"'Kandaghari, K'",7,12,3,S,20,52000000
"'Tikathali, L'",13,5,3,S,13,54000000
"'Chasidol, L'",3.5,7,3,W,13,22000000
"'Bhandarigauu, K'",3.2,6,3,S,13,27500000
"'Imadol, L'",5,14,3,NW,13,42500000
"'Budhanilkantha, K'",3.3,3,3,E,26,29500000
"'Tikathali, L'",3.1,6,3,W,13,26500000
"'Imadol, L'",3.5,6,3,NW,12,31000000
"'Imadol, L'",4,6,3,E,13,32500000
"'Imadol, L'",2.3,5,3,W,13,25500000
"'Imadol, L'",3,5,3,E,13,27000000
"'Imadol, L'",3,5,3,W,13,28000000
"'Lubhu, L'",2.3,5,3,N,13,23000000
"'Thimi, B'",3.1,5,3,W,20,22500000
"'Chobar, K'",6.5,5,3,E,20,32500000
"'Imadol, L'",3,5,3,N,13,32500000
"'Imadol, L'",5.1,5,3,SE,13,57500000
"'Tikathali, L'",5,6,3,NW,13,32000000
"'Imadol, L'",4,6,3,NE,13,37500000
"'Bhaisepati, L'",3,4,3,SE,22,30000000
"'Gatthaghar, B'",3,10,3,NE,13,25000000
"'Thaiba, L'",7.2,5,3,W,20,40000000
"'Budhanilkantha, K'",6,7,3,E,13,52500000
"'Chunikhel, K'",3,6,3,S,13,28000000
"'Mahankal, K'",6,4,3,NE,16,47500000
"'Gatthaghar, B'",3,6,3,E,13,33000000
"'Chunikhel, K'",4.5,7,3,NE,13,44500000
"'Bhaisepati, L'",5.5,6,3,W,20,52500000
"'Naikap, K'",3.5,5,3,NW,13,22500000
"'Goldhunga, K'",6.1,9,3,SE,13,30000000
"'Baniyatar, K'",2.2,6,3,S,13,26000000
"'Imadol, L'",4.2,6,3,W,13,39500000
"'Gothatar, K'",3.2,7,3,NE,20,32000000
"'Tikathali, L'",3,8,3,S,13,25000000
"'Setipakha, L'",3.2,6,3,E,13,35500000
"'Hattigauda, K'",4,4,3,W,13,37000000
"'Chapali, K'",4.5,5,3,NW,14,39000000
"'Imadol, L'",5,5,3,W,20,55000000
"'Thimi, B'",6,5,3,NE,20,60000000
"'Imadol, L'",4,11,3,W,20,44500000
"'Imadol, L'",3.1,6,3,W,13,30000000
"'Imadol, L'",3,8,3,N,16,24500000
"'Tikathali, L'",3.2,7,3,S,13,31000000
"'Imadol, L'",3.2,5,3,N,13,27000000
"'Ganesh chowk, K'",4.5,5,3,E,16,40000000
"'Imadol, L'",4,6,3,S,13,42000000
"'Balkot, B'",3.1,6,3,E,13,33000000
"'Balkot, B'",14,6,3,N,24,85000000
"'Tikathali, L'",4,6,3,W,20,25000000
"'Imadol, L'",4.2,8,3,N,13,38500000
"'Imadol, L'",2.5,5,3,NE,13,18000000
"'Imadol, L'",3,8,3,W,20,31000000
"'Sital Height, L'",5,5,3,SE,16,39000000
"'Swayambhu, K'",5,6,3,NE,13,50000000
"'Sanagaun, L'",4.1,7,3,S,13,32500000
"'Imadol, L'",3.5,7,3,E,13,32000000
"'Gongabu, K'",3,15,3,S,13,27500000
"'Imadol, L'",3.5,4,3,W,13,31000000
"'Imadol, L'",3.5,5,3,E,13,42500000
"'Imadol, L'",3.75,7,3,S,13,42500000
"'Sital Height, L'",3.5,5,3,S,20,26000000
"'Imadol, L'",4.2,5,3,NW,13,45000000
"'Imadol, L'",3,6,3,W,13,25000000
"'Tikathali, L'",3,7,3,S,13,24500000
"'Bansbari, K'",4,6,3,E,13,40000000
"'Imadol, L'",3.25,6,3,N,13,32499999
"'Imadol, L'",3.2,6,3,S,13,31999999
"'Dhapakhel, L'",5.3,5,3,E,20,55000000
"'Magargau, L'",3.5,4,3,E,16,29999999
"'Sanobharyang, K'",3.5,5,3,S,22,32500000
"'Panipokhari, K'",3,6,3,E,20,60000000
"'Imadol, L'",3,8,3,S,20,31500000
"'Imadol, L'",3.5,8,3,W,13,26500000
"'Baluwatar, K'",4.5,9,3,SE,26,90000000
"'Gongabu, K'",3,4,3,NW,13,26000000
"'Balkot, B'",3.5,7,3,W,13,26500000
"'Imadol, L'",3,7,3,E,24,31500000
"'Imadol, L'",3,5,3,W,13,25000000
"'Balkot, B'",4,7,3,E,20,32500000
"'Bode, B'",3,5,3,E,26,19000000
"'Karyabinayak, L'",6,8,3,E,13,45000000
"'Bhaisepati, L'",5.5,6,3,E,16,65000000
"'Bhaisepati, L'",5,7,3,E,13,42500000
"'Bhaisepati, L'",5,7,3,E,13,37500000
"'Imadol, L'",3.5,6,3,S,13,35000000
"'Imadol, L'",3.3,7,3,N,14,38000000
"'Tikathali, L'",4.1,7,3,W,20,36500000
"'Imadol, L'",6,7,3,E,20,67500000
"'Imadol, L'",6,7,3,E,13,67500000
"'Sukedhara, K'",3,5,3,W,13,32500000
"'Baniyatar, K'",3.3,5,3,E,13,28000000
"'Imadol, L'",5,7,3,W,16,39000000
"'Imadol, L'",3.5,8,3,E,16,31500000
"'Sitapakha, L'",4,6,3,W,13,29000000
"'Imadol, L'",3.2,6,3,N,13,25000000
"'Imadol, L'",4.3,6,3,W,13,42500000
"'Dhapakhel, L'",11.1,6,3,W,16,41500000
"'Hattiban, L'",4,7,3,W,12,26500000
"'Narayanthan, K'",3.21,2,3,E,13,25000000
"'Sangla, K'",2.04,3,3,SE,12,18500000
"'Kalanki, K'",4,1,3,E,10,33500000
"'Deuba chowk, K'",5.5,5,3,S,13,34000000
"'Imadol, L'",3,6,3,E,16,22500000
"'Kuleshwor, K'",6.2,1,3,S,16,60000000
"'Kist Hospital, L'",3.79,7,3,E,13,28500000
"'Nayabasti, L'",2.92,7,3,E,20,27500000
"'Kapan, K'",2,1,3,E,8,15000000
"'Imadol, L'",3.75,4,3,E,16,26800000
"'Kapurdhara, K'",4.39,5,3,N,4,33000000
"'Dhumbarahi, K'",5,3,3,SE,20,55000000
"'Mandikatar, K'",3,3,3,E,13,25000000
"'Kapan, K'",3,5,3,E,10,22500000
"'Hattigauda, K'",4,7,3,N,17,50000000
"'Imadol, L'",4,6,3,N,13,46000000
"'Imadol, L'",5.5,6,3,S,16,55000000
"'Lubhu, L'",3.5,7,3,W,13,23600000
"'Mandikatar, K'",5,3,3,E,16,35000000
"'Balkot, B'",3.1,6,3,S,13,27000000
"'Balkot, B'",3,5,3,S,36,25500000
"'Jharankhu, K'",4,6,3,E,13,19000000
"'Mulpani, K'",4,7,3,S,10,23000000
"'Imadol, L'",3,5,3,W,20,26000000
"'Harisiddhi, L'",3.5,6,3,S,13,27500000
"'Makalbari, K'",5,7,3,E,13,35000000
"'Mulpani, K'",4,8,3,S,10,23000000
"'Sukedhara, K'",3,5,3.5,S,14,33000000
"'Dhaneshwor, K'",4,8,3.5,N,14,28000000
"'Dharmasthali, K'",4,8,3.5,N,13,37000000
"'Jagdol, K'",3.2,5,3.5,SE,13,30000000
"'Goldhunga, K'",4,5,3.5,NW,13,27000000
"'Kapan, K'",3,5,3.5,E,13,25000000
"'Gyaneshwor, K'",3.3,6,3.5,NW,20,65000000
"'Samakhusi, K'",5,8,3.5,E,13,45000000
"'Baniyatar, K'",4.2,5,3.5,SW,13,28000000
"'Imadol, L'",4.1,9,3.5,W,13,41000000
"'Baniyatar, K'",6,6,3.5,E,13,60000000
"'Kapan, K'",3,6,3.5,SW,13,25000000
"'Nakkhu, L'",3,7,3.5,S,13,27000000
"'Bhangal, K'",4,6,3.5,S,13,34500000
"'Ramailo Danda, K'",3.3,6,3.5,S,12,21500000
"'Balaju, K'",3,7,3.5,S,8,18500000
"'Imadol, L'",3.5,8,3.5,E,13,30000000
"'Sital Height, L'",5.1,7,3.5,E,26,57500000
"'Pepsicola, K'",3.5,6,3.5,E,22,33500000
"'Pepsicola, K'",3.5,8,3.5,W,13,32500000
"'Ektabasti, K'",3.45,3,3.5,NE,13,28000000
"'Dhapakhel, L'",6,6,3.5,SE,13,47500000
"'Harisiddhi, L'",7.2,6,3.5,E,20,40000000
"'Imadol, L'",4,7,3.5,SW,13,36500000
"'Chunikhel, K'",5,6,3.5,E,20,39700000
"'Chunikhel, K'",3.5,6,3.5,E,13,32500000
"'Chunikhel, K'",4,6,3.5,NW,13,43500000
"'Chapali, K'",6,6,3.5,W,13,53000000
"'Balkot, B'",5,6,3.5,S,13,37000000
"'Imadol, L'",4,6,3.5,NE,14,46000000
"'Imadol, L'",4.5,6,3.5,NE,15,49500000
"'Imadol, L'",4,5,3.5,NE,15,45500000
"'Tikathali, L'",3.1,6,3.5,NE,13,26500000
"'Tikathali, L'",3.5,6,3.5,S,13,27500000
"'Imadol, L'",3,9,3.5,S,13,31500000
"'Baluwapati, K'",4.2,8,3.5,S,13,34000000
"'Gairigaun, K'",4,6,3.5,E,13,32000000
"'Sitapaila, K'",4,5,3.5,N,26,25000000
"'Sanagaun, L'",4.75,3,3.5,S,13,37500000
"'Ekantakuna, L'",6,6,3.5,W,20,39000000
"'Imadol, L'",3,5,3.5,S,13,28000000
"'Imadol, L'",3,6,3.5,S,11,29000000
"'Kapan, K'",3.2,5,3.5,W,13,32000000
"'Payutar, K'",4,6,3.5,NW,10,40000000
"'Kapan, K'",4,6,3.5,N,13,32000000
"'Baluwatar, K'",3,7,3.5,E,15,33000000
"'Matatirtha, K'",6.1,7,3.5,E,22,33000000
"'Ganeshthan, K'",4,8,3.5,E,8,28000000
"'New Baneshwor, K'",8.15,11,3.5,W,16,95000000
"'Imadol, L'",3.75,6,3.5,W,13,33500000
"'Bhangal, K'",5.5,4,3.5,NE,13,50000000
"'Bhaisepati, L'",4.3,6,3.5,SE,20,39000000
"'Imadol, L'",4.1,7,3.5,E,13,38000000
"'Imadol, L'",3.2,8,3.5,E,13,32500000
"'Kumaripati, L'",4.2,8,3.5,SW,8,32500000
"'Sital Height, L'",3.2,5,3.5,N,13,29000000
"'Sanobharyang, K'",4.1,6,3.5,SW,14,39000000
"'Naxal, K'",8,7,3.5,E,13,100000000
"'Dibyeshwori, B'",3.1,7,3.5,W,20,32500000
"'Shantinagar, K'",5.5,9,3.5,E,20,60000000
"'Balkot, B'",5,9,3.5,SE,20,37500000
"'Kapan, K'",3,7,3.5,SE,13,24500000
"'Imadol, L'",4.2,7,3.5,E,20,44000000
"'Naikap, K'",3,7,3.5,E,13,25500000
"'Bhaisepati, L'",4.2,8,3.5,E,13,32000000
"'Imadol, L'",4.2,8,3.5,S,13,28900000
"'Manmaiju, K'",3.2,7,3.5,S,16,26500000
"'Thulobharyang, K'",5.5,8,3.5,NE,11,50000000
"'Baneshwor, K'",4,5,3.5,S,14,44000000
"'Tikathali, L'",4,3,3.5,E,14,32500000
"'Imadol, L'",4,5,3.5,SW,13,37500000
"'Guheshwori, K'",2.04,5,3.5,N,13,28000000
"'Kapan, K'",4.5,6,3.5,E,13,35000000
"'Dadhikot, B'",4.75,7,3.5,E,13,32000000
"'Tangal, K'",7.2,5,3.5,N,16,65000000
"'Sukedhara, K'",2.5,3,3.5,S,20,25000000
"'Imadol, L'",4,7,3.5,E,16,32500000
"'Gyaneshwor, K'",6,6,3.5,S,14,57000000
"'Imadol, L'",4,7,3.5,N,18,39500000
"'Bhangal, K'",3.5,4,3.5,SW,13,25000000
"'Balaju, K'",2.3,3,3.5,W,14,30000000
"'kalanki, K'",2.5,3,3.5,SE,13,32000000
"'Shantinagar, K'",3,6,4,S,10,42500000
"'Imadol, L'",4,5,4,N,13,39000000
"'Imadol, L'",6.3,6,4,N,13,38000000
"'Imadol, L'",3.1,8,4,E,13,25000000
"'Gatthaghar, B'",3.5,14,4,NW,13,25000000
"'Chunikhel, K'",4.2,6,4,NE,13,45000000
"'Kusunti, L'",8,6,4,E,26,48000000
"'Gatthaghar, B'",3,8,4,E,13,36000000
"'Dhumbarahi, K'",6,9,4,S,11,70000000
"'Sanagaun, L'",3.1,5,4,S,13,27000000
"'Imadol, L'",5,2,4,E,26,72500000
"'Sukedhara, K'",4,4,4,E,20,47500000
"'Gatthaghar, B'",3.2,8,4,E,14,32000000
"'Shantinagar, K'",4,11,4,S,10,42500000
"'Shantinagar, K'",5,20,4,E,20,55000000
"'Imadol, L'",3.3,8,4,NE,13,36500000
"'Imadol, L'",4,7,4,W,13,21500000
"'Baniyatar, K'",4.1,9,4,E,13,38000000
"'Baniyatar, K'",4,7,4,W,13,30000000
"'Pahelopul, K'",4,13,4.5,S,20,38500000
"'Kalanki, K'",6,10,4.5,S,13,42500000
"'Kapan, K'",5,6,4.5,SE,13,38000000
"'Manohara, B'",4.3,4,4.5,E,20,42000000
"'Sitapaila, K'",4,3,4.5,S,16,45000000
"'Satdobato, L'",8,10,5,SE,13,110000000
"'Shantinagar, K'",6,28,5,E,20,65000000
"'Chabahil, K'",5,19,5,E,24,60000000
"'Sukedhara, K'",5.48,6,2.5,N,12,42500000
"'Kuleshwor, K'",8.5,7,3,W,16,80000000
"'Sitapaila, K'",3,5,3,E,13,28000000
"'Sitapaila, K'",3.5,6,2.5,E,13,25000000
"'Kalanki, K'",3,5,2.5,E,13,28000000
"'Swayambhu, K'",5.25,13,4,N,13,80000000
"'Kalanki, K'",10,7,3.5,E,13,60000000
"'Bhaisepati, L'",4.43,4,2.5,SE,20,41500000
"'Dhapasi, K'",8,5,2.5,E,13,75500000
"'Sunakothi, L'",3.75,5,2.5,NE,13,37500000
"'Sunakothi, L'",3.12,4,2.5,SE,13,31500000
"'Mulpani, K'",3,7,3.5,SE,13,23500000
"'Kapan, K'",4,6,2.5,SE,14,37500000
"'Tikathali, L'",3.25,5,3,N,13,33500000
"'Bhangal, K'",4.06,6,2.5,NE,13,34500000
"'Naxal, K'",7.75,10,3.5,SW,21,58000000
"'Tahachal, K'",2.75,3,2.5,E,11,21000000
"'Budhanilkantha, K'",4,6,2.5,SW,13,29500000
"'Dallu, K'",6,17,3.5,N,14,45000000
"'Naikap, K'",3,7,3.5,E,13,23000000
"'Baluwatar, K'",7.75,10,2.5,S,20,11000000
"'Tikathali, L'",3.37,6,3,W,14,27500000
"'Golfutar, K'",4.5,8,2.5,SE,13,35000000
"'Imadol, L'",2.5,5,2.5,W,13,21000000
"'Battisputali, K'",4.75,12,3,E,19,69000000
"'Tikathali, L'",4,6,3,NE,13,42500000
"'Tikathali, L'",4,6,3,SE,13,45000000
"'Budhanilkantha, K'",9.5,6,2.5,NE,13,107500000
"'Newroad, K'",1,9,4.5,N,12,35000000
"'Dhumbarahi, K'",3.5,6,2.5,S,11,25000000
"'Guheshwori, K'",4,4,2.5,SW,12,30000000
"'Mahankal, K'",3.5,9,4,NE,15,33000000
"'Tokha, K'",3.37,6,3.5,E,13,28500000
"'Jorpati, K'",3,3,3.5,W,13,29000000
"'Mulpani, K'",5,4,2.5,NW,20,50000000
"'Bafal, K'",9,11,3.5,N,13,100000000
"'Ravi Bhawan, K'",3.75,6,2.2,SE,4,22000000
"'Syuchatar, K'",4,6,2.5,NE,10,27500000
"'Old Baneshwor, K'",7.75,14,5,E,26,110000000
"'Tokha, K'",6,5,4,E,26,52500000
"'Tokha, K'",3,5,2.5,NE,10,27000000
"'Imadol, L'",4.5,6,3,NE,13,47500000
"'Imadol, L'",3,6,3.5,NW,13,27500000
"'Imadol, L'",3.75,7,2.5,NE,13,29500000
"'New Baneshwor, K'",3.5,6,2.25,E,10,36000000
"'Maharajgunj, K'",11,6,2.5,W,12,115000000
"'Sipadol, B'",3,5,2.5,S,13,16500000
"'Hadigaun, K'",14,11,4.5,W,24,11000000
"'Gyaneshwor, K'",10,5,2.5,S,16,140000000
"'Mandikatar, K'",3,5,2.5,SE,13,26000000
"'Tikathali, L'",3.75,6,3.5,S,13,31000000
"'Tokha, K'",3.5,6,2.5,SE,10,25000000
"'Lubhu, L'",2.75,4,2.5,W,10,18000000
"'Changathali, L'",5.5,7,2.5,NE,13,28000000
"'Sudal, B'",4,2,1,S,13,13500000
"'Chabahil, K'",15,10,3.5,E,14,140000000
"'Boudha, K'",6,7,2.5,E,14,50000000
"'Kapan, K'",3,3,1.5,S,13,16500000
"'Tokha, K'",3.62,5,2.5,S,10,48000000
"'Imadol, L'",3,5,2.5,W,16,27000000
"'Tikathali, L'",3.75,2,1,NE,13,18500000
"'Tikathali, L'",9.25,6,3.5,W,16,97500000
"'Chandol, K'",6.5,4,2.5,W,12,82500000
"'Tikathali, L'",3.5,7,3,SW,13,28000000
"'Bhangal, K'",3.45,9,2.5,W,20,21000000
"'Lubhu, L'",2.75,3,1,S,13,12000000
"'Lubhu, L'",2.91,6,3,S,13,20000000
"'Balkot, B'",11.5,7,3,NE,24,85000000
"'Makalbari, K'",3.5,4,2.5,NE,16,27500000
"'Tikathali, L'",3,8,3,S,13,31000000
"'Samakhusi, K'",9.5,7,3.5,E,14,74500000
"'Machapokhari, K'",3.5,11,3,S,10,27000000
"'Tikathali, L'",3.25,5,3,S,13,33500000
"'Budhanilkantha, K'",3,2,1,SW,13,17500000
"'Budhanilkantha, K'",32,4,2.5,E,13,225000000
"'Bhaisepati, L'",2.5,3,2.5,W,13,25000000
"'Bhaisepati, L'",3.5,3,2.5,W,13,25000000
"'Bode, B'",4,4,2,S,13,16500000
"'Lubhu, L'",3.75,4,3,SE,13,29900000
"'Budhanilkantha, K'",6,6,2.5,E,14,57500000
"'Tokha, K'",3,5,2.5,W,13,31500000
"'Old Baneshwor, K'",2.75,8,3.5,W,20,35000000
"'Golfutar, K'",8.5,8,2.5,SW,13,59500000
"'Sanothimi, B'",5,6,3,S,13,39900000
"'Tikathali, L'",2.75,7,2.5,NE,13,21500000
"'Balkhu, K'",13.93,4,2.5,N,100,139075000
"'Basantapur, K'",1.87,3,4.5,N,15,35000000
"'Sukedhara, K'",2.68,13,5,E,32,63000000
"'Dhumbarahi, K'",4,12,5,N,13,47800000
"'Sukedhara, K'",5,5,2.5,SW,18,55000000
"'Kharipati, B'",3.87,3,2,S,20,17500000
"'Kapan, K'",3.5,14,4,NE,26,40000000
"'Suryabinayak, B'",5,6,3.5,W,13,35000000
"'Suryabinayak, B'",8.31,5,2,NW,40,41500000
"'Budhanilkantha, K'",7,5,3,SE,13,36000000
"'Suryabinayak, B'",4,6,2.5,S,13,24000000
"'Bhaisepati, L'",13,4,2.5,E,20,104500000
"'Tokha, K'",8.5,20,5,E,13,65000000
"'Bhangal, K'",4,6,2.5,W,13,37500000
"'Lubhu, L'",2.75,2,1,W,13,16000000
"'Tikathali, L'",3.5,7,3.5,E,13,29000000
"'Lubhu, L'",2.5,4,2.5,W,13,17000000
"'Tikathali, L'",4,8,3.5,S,13,32500000
"'Kapan, K'",4,7,3.5,E,13,46000000
"'Swayambhu, K'",4.5,7,3,NE,13,33000000
"'Kuleshwor, K'",10.5,4,2.5,W,10,80000000
"'Imadol, L'",3.75,6,3,NE,16,41000000
"'Tinkune, K'",8.5,13,3.5,E,13,78000000
"'Tokha, K'",4,7,2.5,E,13,35000000
"'Imadol, L'",3.5,5,3,NW,13,38000000
"'Imadol, L'",3.75,6,3,SE,13,43000000
"'Imadol, L'",3.25,5,3,SE,20,32500000
"'Tikathali, L'",3.25,7,2.5,W,20,26000000
"'Budhanilkantha, K'",6.25,6,2.5,SE,13,58500000
"'Budhanilkantha, K'",4,6,2.5,W,13,36000000
"'Budhanilkantha, K'",9,8,2.5,SE,26,75000000
"'Imadol, L'",3,5,2.5,SE,13,27500000
"'Budhanilkantha, K'",5,6,2.5,NE,20,42500000
"'Budhanilkantha, K'",3.5,7,2.5,E,13,31000000
"'Budhanilkantha, K'",4.06,4,2.5,W,20,46000000
"'Kapan, K'",4,2,1,E,13,18500000
"'Maharajgunj, K'",4.5,6,2.5,S,12,55000000
"'Sitapaila, K'",4,4,2.5,SE,13,32500000
"'Tikathali, L'",3.06,5,2.5,SW,13,25000000
"'Budhanilkantha, K'",4,4,2,NE,14,39000000
"'Mulpani, K'",3,6,2.5,S,13,25500000
"'Dhaneshwor, K'",3.5,6,2.5,SW,10,25000000
"'Bafal, K'",4.25,6,2.5,E,13,32500000
"'Budhanilkantha, K'",3.5,6,2.5,W,13,35000000
"'Kapan, K'",3,8,2.5,SE,13,19000000
"'Gothatar, K'",4,6,2.5,SE,20,33000000
"'Mulpani, K'",3.5,6,3,S,13,27000000
"'Kalanki, K'",3,4,2.5,S,13,26500000
"'Dholahiti, L'",10,4,2.5,SE,20,82500000
"'Ramkot, K'",3.5,3,2,NE,15,20500000
"'Dallu, K'",3.75,8,5.5,E,22,58000000
"'Gothatar, K'",5.25,2,1,E,13,19000000
"'Basundhara, K'",3.93,5,2.5,W,13,37500000
"'Boudha, K'",2.5,15,5,S,11,17000000
"'Tripureshwor, K'",1.75,10,5.5,S,32,40000000
"'Koteshwor, K'",3.5,13,4.5,W,16,35000000
"'Koteshwor, K'",4,10,4.5,E,16,45000000
"'Budhanilkantha, K'",6,5,2.5,SW,13,56500000
"'Jorpati, K'",3.5,8,3.5,E,22,32500000
"'Mulpani, K'",8,7,2.5,E,20,40000000
"'Baluwatar, K'",2.5,4,2.5,W,30,29500000
"'Dhapasi, K'",13,4,2,S,14,91000000
"'Budhanilkantha, K'",4.5,6,2.5,E,13,43000000
"'Imadol, L'",4.31,6,2.5,E,13,30000000
"'Radhe Radhe, B'",5.37,7,3.5,SW,20,39000000
"'Madhyapur Thimi, B'",3.25,4,2.5,SW,20,23500000
"'Sallaghari, B'",3.75,13,3.5,SE,20,30000000
"'Sanothimi, B'",3,5,3,N,20,29000000
"'Nayabazar, K'",4.62,7,3.5,E,20,49000000
"'Battisputali, K'",3.93,5,2.5,E,14,40000000
"'Budhanilkantha, K'",24,10,2.5,NE,13,140000000
"'Budhanilkantha, K'",3,5,2.5,S,13,28500000
"'Tokha, K'",6,8,2.5,W,16,57000000
"'Pepsicola, K'",3.87,6,3,W,20,29500000
"'Tikathali, L'",2.93,2,1,S,13,16000000
"'Tikathali, L'",3.5,8,2.5,N,13,28000000
"'Tokha, K'",8.75,3,2.5,SE,14,52500000
"'Chandol, K'",5.75,4,2,E,8,46000000
"'Duwakot, B'",5,6,3.5,NW,20,31000000
"'Tikathali, L'",4.5,5,2.5,S,13,45000000
"'Imadol, L'",4.5,6,3,SE,13,48000000
"'Kalanki, K'",3.5,11,4.5,S,13,41000000
"'Sanepa, L'",3,6,2.5,S,13,36000000
"'Sudal, B'",3,8,2.5,NW,13,19000000
"'Koteshwor, K'",3.93,8,4.5,W,13,45000000
"'Hattigauda, K'",2.5,5,2.5,E,20,25000000
"'Syuchatar, K'",3.5,5,3.5,N,13,28500000
"'Syuchatar, K'",3,5,3.5,SE,13,28000000
"'Balkot, B'",13,6,2.5,SW,20,70000000
"'Koteshwor, K'",2.5,4,2.5,W,20,26500000
"'Imadol, L'",3.5,5,3,SE,13,29800000
"'Budhanilkantha, K'",5,4,2.5,E,13,45000000
"'Sanogaun, L'",2.5,5,2.5,S,8,17500000
"'Mandikatar, K'",3,3,1.5,W,4,14000000
"'Chunikhel, K'",2.87,5,2.5,SW,12,23000000
"'Sanogaun, L'",4.25,5,3,SE,24,30000000
"'Dallu, K'",6.62,7,2.5,SE,8,39500000
"'Jadibuti, K'",5,8,3.5,E,20,39000000
"'Harisiddhi, L'",16,3,2.5,S,13,75000000
"'Budhanilkantha, K'",5,4,2.5,SE,20,42500000
"'Chundevi, K'",6.25,5,2.5,E,20,59000000
"'Godawari, L'",5,5,2.5,SE,20,33000000
"'Sirutar, B'",3,4,2.5,SE,13,23000000
"'Balkot, B'",8,7,3.5,NE,16,55000000
"'Mulpani, K'",6,5,2.5,E,26,65000000
"'Palase, B'",8.31,5,2,NW,40,41500000
"'Boudha, K'",8.5,7,2.5,E,13,75000000
"'Swayambhu, K'",3,6,4.5,E,13,29000000
"'Thulobharyang, K'",3,3,3.5,N,20,42500000
"'Lubhu, L'",14,16,2.5,N,20,57400000
"'Budhanilkantha, K'",3.25,4,2.5,N,13,28500000
"'Sukedhara, K'",3.25,7,3,W,11,25000000
"'Bhaisepati, L'",4.25,4,2.5,SW,13,40000000
"'Guheshwori, K'",3,12,4,N,13,25000000
"'Jorpati, K'",3,8,3,S,13,21500000
"'Kapan, K'",3.37,5,2.5,SE,13,39500000
"'Kapan, K'",2.5,8,3.5,NW,22,20000000
"'Kapan, K'",4.87,6,2.5,W,13,37500000
"'Ghattekulo, K'",3.25,13,4.5,E,13,38000000
"'Kapan, K'",4.87,2,1,SW,13,19000000
"'Tikathali, L'",3,2,1,SE,13,15500000
"'Baneshwor, K'",6.5,5,2.5,S,10,61000000
"'Budhanilkantha, K'",4,6,2.5,E,13,34000000
"'Buddhanagar, K'",3.56,7,3.5,SE,12,45000000
"'Thecho, L'",4,4,2.5,E,20,36500000
"'Basundhara, K'",6,4,3,W,20,60000000
"'Tokha, K'",3.5,6,2.5,SE,13,27500000
"'Bhaisepati, L'",4.5,4,2.5,NW,13,40000000
"'Teku, K'",1.37,8,7,NE,5,31000000
"'Koteshwor, K'",6,22,4,W,13,75000000
"'Godawari, L'",6.5,7,2.5,N,20,32000000
"'Budhanilkantha, K'",4.5,6,2.5,NW,13,43000000
"'Budhanilkantha, K'",4.5,6,2,N,15,43500000
"'Pasikot, K'",3,3,2.5,NE,13,30000000
"'Budhanilkantha, K'",7,6,3,W,13,59000000
"'Pasikot, K'",5,6,2.5,NE,13,36000000
