Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Facing,Facing_PriceCode,Road Access,Price
"'Tej Binayak, K'",K,36682079.16,Tej Binayak,32832368.59,3.1,6,E,36403707.15,20,28000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,10,1,S,32636997.24,13,70000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,4.3,6,W,34071065.83,13,43500000
"'Tej Binayak, K'",K,36682079.16,Tej Binayak,32832368.59,3.1,2,N,32763770.05,13,17500000
"'Harharmahadev, K'",K,36682079.16,Harharmahadev,36682079.16,4.1,6,SE,37959390.61,13,35000000
"'Kantipur Coloney, L'",L,33467802.12,Kantipur Coloney,32788911.02,3.3,4,W,34071065.83,16,26000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,8.5,6,W,34071065.83,13,68000000
"'Katunje, B'",B,29573874.67,Katunje,29703522.43,4.1,5,SW,33039133.52,13,31000000
"'Maharajgunj, K'",K,36682079.16,Maharajgunj,46772913.69,7.2,6,W,34071065.83,20,58000000
"'Srij Nagar, B'",B,29573874.67,Srij Nagar,28794431.52,2.2,4,E,36403707.15,13,21000000
"'Kmc Hospital, B'",B,29573874.67,Kmc Hospital,28021704.24,3.2,1,N,32763770.05,12,12500000
"'Taukhel, L'",L,33467802.12,Taukhel,32014835.1,5.1,1,E,36403707.15,16,20000000
"'Tokha, K'",K,36682079.16,Tokha,32918811.87,3.5,1,S,32636997.24,13,18500000
"'Balkot, B'",B,29573874.67,Balkot,31347812.38,5.5,2,E,36403707.15,22,30000000
"'Machhegaun, K'",K,36682079.16,Machhegaun,34347344.7,3,2,S,32636997.24,20,11000000
"'Gothatar, K'",K,36682079.16,Gothatar,30072418.65,3,2,NE,33725298.44,6,11000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,4,2,E,36403707.15,20,18000000
"'Lokanthali, B'",B,29573874.67,Lokanthali,30478228.89,4,2,W,34071065.83,13,25000000
"'Lubhu, L'",L,33467802.12,Lubhu,24974215.04,3,2,E,36403707.15,12,15000000
"'Dhapasi, K'",K,36682079.16,Dhapasi,37755445.51,2.5,6,E,36403707.15,6,13500000
"'Ansaritole, L'",L,33467802.12,Ansaritole,33467802.12,2.63,2,S,32636997.24,13,13000000
"'Gothatar, K'",K,36682079.16,Gothatar,30072418.65,4,3,SW,33039133.52,20,21000000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,5,5,E,36403707.15,13,42500000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,4.5,4,E,36403707.15,13,45000000
"'Siddhipur, L'",L,33467802.12,Siddhipur,31834365.57,3,2,N,32763770.05,13,15500000
