Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Floor,Facing,Facing_PriceCode,Road Access,Price
"'Bishalnagar, K'",K,37338387.72,Bishalnagar,81250000.0,8.3,5,1.0,S,31992462.31,20,80000000
"'Baluwatar, K'",K,37338387.72,Baluwatar,47666666.67,5.0,5,1.0,E,36431958.76,13,50000000
"'Golfutar, K'",K,37338387.72,Golfutar,45250000.0,6.1,5,1.0,NE,34112500.0,13,77000000
"'Deuba Chowk, K'",K,37338387.72,Deuba Chowk,42500000.0,6.0,4,1.0,W,35438823.53,20,50000000
"'Jorpati, K'",K,37338387.72,Jorpati,27136363.64,3.0,2,1.0,E,36431958.76,13,23000000
"'Tej Binayak, K'",K,37338387.72,Tej Binayak,20000000.0,3.1,6,1.0,E,36431958.76,20,28000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,10.0,1,1.0,S,31992462.31,13,70000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,4.3,6,1.0,W,35438823.53,13,43500000
"'Tej Binayak, K'",K,37338387.72,Tej Binayak,20000000.0,3.1,2,1.0,N,32362162.15,13,17500000
"'Harharmahadev, K'",K,37338387.72,Harharmahadev,35000000.0,4.1,6,1.0,SE,38727272.73,13,35000000
"'Kantipur Coloney, L'",L,33117499.99,Kantipur Coloney,26000000.0,3.3,4,1.0,W,35438823.53,16,26000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,8.5,6,1.0,W,35438823.53,13,68000000
"'Katunje, B'",B,28067676.77,Katunje,31000000.0,4.1,5,1.0,SW,32763333.33,13,31000000
"'Maharajgunj, K'",K,37338387.72,Maharajgunj,72000000.0,7.2,6,1.0,W,35438823.53,20,58000000
"'Srij Nagar, B'",B,28067676.77,Srij Nagar,21000000.0,2.2,4,1.0,E,36431958.76,13,21000000
"'Kmc Hospital, B'",B,28067676.77,Kmc Hospital,12500000.0,3.2,1,1.0,N,32362162.15,12,12500000
"'Taukhel, L'",L,33117499.99,Taukhel,24750000.0,5.1,1,1.0,E,36431958.76,16,20000000
"'Tokha, K'",K,37338387.72,Tokha,31000000.0,3.5,1,1.0,S,31992462.31,13,18500000
"'Balkot, B'",B,28067676.77,Balkot,32108695.65,5.5,2,1.0,E,36431958.76,22,30000000
"'Machhegaun, K'",K,37338387.72,Machhegaun,11000000.0,3.0,2,1.0,S,31992462.31,20,11000000
"'Gothatar, K'",K,37338387.72,Gothatar,24946666.67,3.0,2,1.0,NE,34112500.0,6,11000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,4.0,2,1.0,E,36431958.76,20,18000000
"'Lokanthali, B'",B,28067676.77,Lokanthali,35000000.0,4.0,2,1.0,W,35438823.53,13,25000000
"'Lubhu, L'",L,33117499.99,Lubhu,20136363.64,3.0,2,1.5,E,36431958.76,12,15000000
"'Dhapasi, K'",K,37338387.72,Dhapasi,41333333.33,2.5,6,1.5,E,36431958.76,6,13500000
"'Ansaritole, L'",L,33117499.99,Ansaritole,13000000.0,2.63,2,1.5,S,31992462.31,13,13000000
"'Gothatar, K'",K,37338387.72,Gothatar,24946666.67,4.0,3,1.5,SW,32763333.33,20,21000000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,5.0,5,1.5,E,36431958.76,13,42500000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,4.5,4,1.5,E,36431958.76,13,45000000
"'Siddhipur, L'",L,33117499.99,Siddhipur,20250000.0,3.0,2,1.5,N,32362162.15,13,15500000
"'Dhumbarahi, K'",K,37338387.72,Dhumbarahi,37685714.29,3.0,3,1.5,E,36431958.76,13,24500000
"'Tej Binayak, K'",K,37338387.72,Tej Binayak,20000000.0,3.0,4,1.5,E,36431958.76,13,14500000
"'Tokha, K'",K,37338387.72,Tokha,31000000.0,4.0,2,1.5,W,35438823.53,13,19500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,5.0,5,1.5,W,35438823.53,20,45000000
"'Golfutar, K'",K,37338387.72,Golfutar,45250000.0,4.5,4,1.5,S,31992462.31,16,9500000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,5.1,4,1.5,N,32362162.15,13,45000000
"'Kusunti, L'",L,33117499.99,Kusunti,39500000.0,3.5,4,1.5,N,32362162.15,13,32500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.3,7,2.0,E,36431958.76,13,29500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,6,2.0,S,31992462.31,13,25500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,6,2.0,N,32362162.15,13,24500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,4,2.0,N,32362162.15,13,23500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,5.0,6,2.0,W,35438823.53,12,39500000
"'Badikhel, L'",L,33117499.99,Badikhel,13000000.0,6.0,4,2.0,S,31992462.31,13,13000000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.1,5,2.0,E,36431958.76,13,28500000
"'Setipakha, L'",L,33117499.99,Setipakha,28225000.0,3.5,5,2.0,W,35438823.53,13,27500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.3,5,2.0,E,36431958.76,13,28500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,4.1,6,2.0,W,35438823.53,13,37500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,4.0,6,2.0,E,36431958.76,20,35000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,4.5,6,2.0,S,31992462.31,13,47000000
"'Khumaltar, L'",L,33117499.99,Khumaltar,44285714.29,4.0,5,2.0,S,31992462.31,13,38500000
"'Dillibazar, K'",K,37338387.72,Dillibazar,66250000.0,4.3,4,2.0,W,35438823.53,20,60000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.5,5,2.0,N,32362162.15,13,29900000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,6,2.0,S,31992462.31,13,29000000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.1,5,2.0,E,36431958.76,13,29000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,4.5,5,2.0,SE,38727272.73,20,45000000
"'Gongabu, K'",K,37338387.72,Gongabu,37571428.57,5.0,6,2.0,N,32362162.15,13,42000000
"'Gongabu, K'",K,37338387.72,Gongabu,37571428.57,4.0,6,2.0,N,32362162.15,13,32500000
"'Chunikhel, K'",K,37338387.72,Chunikhel,34472727.27,4.1,6,2.0,S,31992462.31,13,33500000
"'Gongabu, K'",K,37338387.72,Gongabu,37571428.57,4.5,4,2.0,SE,38727272.73,20,45000000
