Location,Land Area,Bedrooms,Floor,Facing,Road Access,Price
"Machhe Gaun, K'",3.0,5,1.5,N,16,12000000.0
"Thapagaun, K'",4.2,3,2.5,E,12,43000000.0
"Ekatabasti, K'",4.0,4,2.5,NE,13,29500000.0
"Shankhamul, K'",3.2,8,2.5,S,13,45000000.0
"Bhaisepati, L'",3.2,5,2.5,NW,16,26500000.0
"Golfutar, K'",4.0,4,2.5,E,13,37500000.0
"Jharuwarasi, L'",4.3,3,2.5,NW,20,13000000.0
"Pasikot, K'",6.0,5,2.5,SE,13,35000000.0
"Manabahadur Marga, K'",4.0,7,2.5,E,13,31000000.0
"Sinamangal, K'",4.1,5,2.5,W,20,49000000.0
"Manabahadur Marga, K'",4.2,5,2.5,NE,16,33000000.0
"Imadol, L'",3.2,5,2.5,N,13,26500000.0
"Manamaiju, K'",8.2,13,3.5,SE,18,58500000.0
"Nakhu, L'",4.0,4,2.5,SW,15,28000000.0
"Imadol, L'",2.3,4,2.5,E,13,19500000.0
"Bhangal, K'",4.0,5,2.5,E,13,31000000.0
"Bhimsengola, K'",10.0,6,2.5,NE,20,75000000.0
"Manabahadur Marga, K'",4.0,5,3.5,W,20,35000000.0
"Bhangal, K'",5.0,5,2.5,E,13,29500000.0
"Darjeeling Height, B'",2.0,4,2.0,S,10,17500000.0
"Sanepa, L'",5.0,5,2.5,SE,10,45000000.0
"Dhapasi, K'",3.0,5,2.5,E,13,21000000.0
"Bhelpa, L'",3.2,5,2.5,SW,11,26500000.0
"Sanepa, L'",5.0,6,2.5,NE,16,65000000.0
"Manamaiju, K'",4.0,9,3.5,S,12,38000000.0
"Sukedhara, K'",4.0,7,2.5,S,12,29500000.0
"Hattigauda, K'",5.1,5,3.5,N,13,39000000.0
"Thaiba, L'",3.1,4,2.5,SE,20,12500000.0
"Bhaisepati, L'",4.2,4,2.5,SE,20,45000000.0
"Jawalakhel, L'",3.0,7,3.5,W,18,30000000.0
"Golfutar, K'",4.1,4,2.5,E,13,37500000.0
"Chunikhel, K'",3.1,5,2.5,SE,13,20500000.0
