Location,Land Area,Bedrooms,Floor,Facing,Road Access,Price
"Gongabu, K'",4.2,5,3.5,W,20,35000000.0
"Imadol, L'",5.1,6,2.5,E,13,32500000.0
"Gyaneshwor, K'",6.0,4,3.5,S,15,35000000.0
"Syuchatar, K'",4.0,4,2.5,E,13,24500000.0
"Syuchatar, K'",3.3,5,3.5,N,13,22000000.0
"Shankhamul, K'",4.0,6,4.5,S,15,55500000.0
"Jawalakhel, L'",7.0,4,3.0,N,16,90000000.0
"Hattigauda, K'",4.2,4,2.5,W,20,50000000.0
"Bansbari, K'",3.2,6,2.5,E,18,38000000.0
"Banasthali, K'",3.2,5,2.5,N,8,20000000.0
"Balkumari, L'",4.2,6,3.0,E,18,50000000.0
"Tikathali, L'",3.0,5,2.5,W,13,16000000.0
"Thankot, K'",5.0,4,2.5,E,16,32500000.0
"Thankot, K'",4.0,6,2.5,S,16,16000000.0
"Thankot, K'",3.1,5,2.5,W,13,16000000.0
"Siddhartha Colony, K'",9.0,9,4.0,S,12,70000000.0
"Chapali, K'",3.3,7,3.0,E,13,29500000.0
"Kalanki, K'",4.0,5,2.0,E,14,22000000.0
"Bafal, K'",3.3,5,2.5,NE,15,31000000.0
"Lubhu, L'",5.0,4,2.5,S,13,18500000.0
"Nagarjun, K'",4.1,6,2.5,SE,22,22500000.0
"Kumarigal, K'",6.2,4,3.0,W,10,35000000.0
"Tenzing Chowk, K'",4.0,6,3.0,W,13,29000000.0
"Bhaisepati, L'",4.1,3,2.5,N,20,22000000.0
"Bhaisepati, L'",3.0,5,2.5,NE,12,21000000.0
"Sitapaila, K'",4.2,4,2.5,S,15,34500000.0
"Setipakha, L'",5.0,5,3.0,E,16,21000000.0
"Basundhara, K'",3.0,6,4.0,E,12,26000000.0
"Rudreshwor, K'",2.2,5,2.5,W,10,10500000.0
"Imadol, L'",3.0,4,2.5,N,12,18500000.0
"Imadol, L'",3.0,6,2.5,S,13,16500000.0
"Imadol, L'",3.2,5,2.5,S,15,25000000.0
"Imadol, L'",3.2,4,2.5,S,13,22000000.0
"Imadol, L'",3.1,5,2.5,E,13,21500000.0
"Imadol, L'",4.2,4,2.5,S,13,24500000.0
"Syuchatar, K'",3.2,5,2.5,W,12,20700000.0
"Syuchatar, K'",3.2,4,2.5,W,14,22000000.0
"Lolang, K'",3.1,4,2.5,S,12,15500000.0
"Thankot, K'",3.1,3,1.0,SE,13,11500000.0
"Imadol, L'",3.1,4,2.5,S,13,21500000.0
"Imadol, L'",3.0,5,2.5,E,13,17500000.0
"Imadol, L'",3.0,5,2.5,N,12,18500000.0
"Imadol, L'",3.1,5,2.5,E,13,19800000.0
"Bhatkepati, K'",3.3,5,2.0,S,13,17500000.0
"Dhapasi, K'",5.0,5,2.0,S,13,32500000.0
"New Baneshwor, K'",4.0,4,2.5,N,13,42500000.0
"Kadaghari, K'",3.0,2,1.0,W,13,12000000.0
"Kalanki, K'",4.2,4,2.5,E,13,28000000.0
"Dharmasthali, K'",5.0,5,2.5,NE,11,24000000.0
"Taulung, K'",6.0,6,2.5,NE,18,42500000.0
"Matatirtha, K'",5.0,4,2.5,N,13,33000000.0
"Imadol, L'",3.1,5,2.5,N,13,20700000.0
"Imadol, L'",3.0,4,2.0,S,13,18200000.0
"Syuchatar, K'",4.0,6,2.0,N,13,22400000.000000004
"Syuchatar, K'",4.0,6,2.5,NE,12,24500000.0
"Hattigauda, K'",5.0,7,2.5,W,12,32500000.0
"Budhanilkantha, K'",3.0,4,3.0,NE,10,29900000.000000004
"Ram Mandir, K'",2.5,5,2.5,W,10,26500000.0
"Mahadevsthan, K'",2.2,2,1.5,W,10,11000000.0
"Mahadevsthan, K'",3.2,2,1.5,W,15,11500000.0
"Katunje, B'",2.2,4,2.5,E,15,14000000.0
"Katunje, B'",5.0,5,2.0,S,13,13500000.0
"Balkot, B'",3.3,6,2.5,NE,20,25000000.0
"Khumaltar, L'",4.2,3,2.5,NE,13,21000000.0
"Mahadevsthan, K'",3.0,5,1.5,W,13,11500000.0
"Chamati, K'",4.2,6,3.5,W,12,30000000.0
"Kalimati, K'",3.0,6,5.0,E,15,50000000.0
"Kalimati, K'",3.0,4,2.0,W,20,22500000.0
"changu Narayan, K'",5.0,6,3.0,W,12,29000000.0
"Syuchatar, K'",3.2,7,3.5,S,15,28500000.0
"Maitidevi, K'",3.2,8,4.5,W,18,46500000.0
"Grande Hospital, K'",3.2,5,2.5,N,12,24500000.0
"Manamaiju, K'",3.2,6,3.5,N,13,22500000.0
"Basundhara, K'",3.1,7,2.5,W,10,28500000.0
"Samakhusi, K'",3.0,6,2.5,S,10,25000000.0
"Panchetar, K'",4.2,2,1.0,E,10,15500000.0
"Baluwakhani, K'",3.3,8,3.5,N,13,17000000.0
"Imadol, L'",3.0,4,2.5,NE,13,19000000.0
"Dhungedhara, K'",3.2,4,2.5,W,20,16000000.0
"Dhungedhara, K'",3.0,5,2.5,E,20,15500000.0
"Dhungedhara, K'",3.0,6,2.5,E,13,16500000.0
"Tinthana, K'",3.0,3,2.5,N,20,18000000.0
"Dawadi Gaun, K'",3.0,5,2.5,S,13,19000000.0
"Bafal, K'",3.2,6,2.5,E,13,22500000.0
"Putalisadak, K'",5.0,4,4.0,W,15,50000000.0
"Thankot, K'",3.0,6,2.5,W,13,12800000.0
"Mahadevsthan, K'",4.0,2,1.0,W,13,12000000.0
"Thankot, K'",3.2,3,1.0,E,13,9800000.0
"Thankot, K'",3.0,4,2.5,N,13,17000000.0
"Gothatar, K'",7.0,6,3.5,W,14,62500000.0
"Bhaisepati, L'",4.0,4,2.5,SE,16,38000000.0
"Naxal, K'",4.0,5,2.5,E,15,38000000.0
"Golfutar, K'",5.2,5,2.5,E,12,43000000.0
"Samakhusi, K'",4.0,6,2.5,E,12,30000000.0
"Bhaisepati, L'",3.2,3,2.5,W,20,27500000.0
"Pasikot, K'",5.2,4,2.5,E,20,30000000.0
"Nilopool, K'",4.2,8,3.0,SW,12,26000000.0
"Pasikot, K'",5.5,4,3.0,E,14,32000000.0
"Hepali Height, K'",5.0,6,3.0,W,14,41000000.0
"Dhapasi, K'",4.2,11,2.5,N,20,25000000.0
"Baluwatar, K'",5.2,9,5.0,W,26,70000000.0
"Golfutar, K'",3.0,3,2.5,W,26,22000000.0
"Bhangal, K'",3.0,6,2.5,E,10,19000000.0
"Chunikhel, K'",3.5,2,1.0,E,13,13000000.0
"Kapan, K'",4.3,5,2.5,N,13,20000000.0
"Gongabu, K'",3.0,5,2.5,NE,12,18500000.0
"Kapan, K'",3.0,4,2.0,W,6,12500000.0
"Bhangal, K'",4.0,4,2.0,W,13,18000000.0
"Chandol, K'",6.3,5,2.5,W,13,46000000.0
"Chappal karkhana, K'",7.0,7,3.5,W,12,38500000.0
"Sukedhara, K'",6.0,4,2.5,S,12,45000000.0
"Dhapasi, K'",5.0,4,2.5,E,12,33000000.0
"Bhaisepati, L'",3.2,4,2.5,S,24,28000000.0
"Bhangal, K'",5.0,5,3.0,NE,12,32000000.0
"Bhangal, K'",2.2,6,3.0,W,10,19000000.0
"Swayambhu, K'",3.1,5,2.5,W,15,24500000.0
"Taulung, K'",8.3,5,2.5,E,12,38000000.0
"Kapan, K'",3.0,5,2.5,W,15,27500000.0
"Dhapasi, K'",6.0,4,2.5,W,13,47500000.0
"Dhapasi, K'",4.1,5,2.5,S,13,28000000.0
"Maharajgunj, K'",4.0,4,2.5,N,20,49000000.0
"Tokha, K'",4.0,5,2.5,N,12,13500000.0
"Dhapasi, K'",3.0,5,3.0,SW,15,32000000.0
"Golfutar, K'",4.0,5,2.5,E,10,34000000.0
"Baluwatar, K'",2.2,6,3.0,E,12,22500000.0
"Grande Hospital, K'",4.1,6,2.5,SW,10,32799999.999999996
"Mandikhatar, K'",4.0,6,2.5,S,12,25000000.0
"Dhapasi, K'",7.0,5,2.5,W,13,40000000.0
"Sitapaila, K'",5.0,7,2.5,N,24,55000000.0
"Tokha, K'",4.0,5,2.5,W,13,21500000.0
"Hepali Height, K'",4.1,5,2.5,S,12,34500000.0
"Budhanilkantha, K'",5.2,4,2.5,E,15,32500000.0
"Golfutar, K'",4.0,6,2.5,S,13,34500000.0
"Shankhamul, K'",5.0,6,3.5,NE,12,32500000.0
"Banasthali, K'",5.0,6,2.5,W,14,29500000.0
"Tokha, K'",3.5,4,2.5,E,12,24500000.0
"Mandikhatar, K'",8.0,5,3.5,W,32,65000000.0
"Dhapasi, K'",3.0,5,2.5,S,12,21500000.0
"Banasthali, K'",6.0,6,2.5,N,13,49500000.0
"Thankot, K'",2.8,6,2.5,SE,13,18000000.0
"Thankot, K'",2.2,5,2.5,S,10,11500000.0
"Kalanki, K'",2.3,4,2.0,SE,13,13000000.0
"Thankot, K'",5.0,5,3.0,E,10,21000000.0
"Thankot, K'",2.3,4,2.5,N,11,13500000.0
"Thankot, K'",6.2,5,2.5,SE,11,17500000.0
"Thankot, K'",3.0,4,2.5,E,13,12000000.0
"Thankot, K'",3.2,4,2.5,W,13,14000000.0
"Bansbari, K'",6.0,6,3.0,S,10,36000000.0
"Chandol, K'",8.0,4,2.0,E,20,40000000.0
"Sitapaila, K'",4.5,5,2.5,E,20,26500000.0
"Chappal karkhana, K'",4.0,6,3.0,SE,10,35000000.0
"Hepali Height, K'",5.5,5,2.5,NW,16,43000000.0
"Dhapasi, K'",3.0,3,2.5,S,26,22000000.0
"Ramkot, K'",4.3,4,2.0,S,15,23000000.0
"Lainchaur, K'",6.2,5,2.5,S,15,55000000.0
"Naxal, K'",8.1,6,3.0,S,15,76000000.0
"Naxal, K'",4.0,6,2.5,S,15,38000000.0
"Syuchatar, K'",6.0,4,2.5,E,13,32000000.0
"Dhapasi, K'",3.0,6,2.5,S,12,32000000.0
"Budhanilkantha, K'",3.1,6,2.5,E,12,23500000.0
"Maitidevi, K'",3.5,8,4.0,W,20,46500000.0
"Samakhusi, K'",4.0,6,3.0,S,13,32000000.0
"Golfutar, K'",4.0,6,3.0,W,15,32500000.0
"Budhanilkantha, K'",3.5,7,2.5,W,12,48000000.0
"Samakhusi, K'",3.5,6,3.5,E,20,25000000.0
"Sukedhara, K'",4.0,5,2.5,N,12,42500000.0
"Hattigauda, K'",4.0,4,3.0,S,10,54000000.0
"Budhanilkantha, K'",6.0,5,2.5,W,12,95000000.0
"Chappal karkhana, K'",3.2,4,2.5,N,12,32000000.0
"Samakhusi, K'",4.0,6,2.5,W,15,32000000.0
"Thapathali, K'",10.0,4,2.5,W,18,69000000.0
"Bhaisepati, L'",4.2,2,1.0,N,16,28000000.0
"Nakhipot, L'",3.3,4,2.5,N,16,23000000.0
"Banasthali, K'",4.5,7,4.0,N,15,45000000.0
"Satdobato, L'",9.0,6,2.5,N,20,45000000.0
"Sanepa, L'",7.0,6,3.0,N,15,75000000.0
"Jawalakhel, L'",4.0,5,2.5,W,12,36000000.0
"Hattiban, L'",3.0,4,4.0,E,12,30000000.0
"Bouddha, K'",7.0,1,1.0,N,20,60000000.0
"Budhanilkantha, K'",6.0,1,1.0,S,16,45000000.0
"Sitapaila, K'",8.0,1,2.5,E,24,55000000.0
"Dhapasi, K'",4.5,6,2.5,S,10,32000000.0
"Hepali Height, K'",4.1,5,2.5,S,12,34000000.0
"Naxal, K'",4.0,6,2.5,SE,15,38000000.0
"Budhanilkantha, K'",5.5,7,3.0,S,12,45000000.0
"Hepali Height, K'",4.0,1,1.0,E,15,32000000.0
"Pasikot, K'",5.0,4,2.5,E,13,55000000.0
"Budhanilkantha, K'",7.8,7,3.0,E,12,70000000.0
"Budhanilkantha, K'",7.0,10,3.0,N,15,57000000.0
"Nakhu, L'",4.1,5,2.5,N,30,25000000.0
"Kupandole, L'",4.0,5,3.0,E,15,25000000.0
"Hattiban, L'",3.0,6,2.5,E,20,35000000.0
"Bhaisepati, L'",4.3,4,2.5,W,10,25000000.0
"Bhaisepati, L'",3.5,6,2.5,N,10,24500000.0
"Nakhipot, L'",3.1,4,2.5,W,13,21500000.0
"Sorhakhutte, K'",5.0,4,3.5,N,10,37000000.0
"Bhaisepati, L'",6.5,4,2.5,NW,13,37500000.0
"Bhaisepati, L'",4.0,3,2.5,W,13,27500000.0
"Hattiban, L'",3.0,5,2.5,N,22,28000000.0
"Kalanki, K'",4.2,4,1.0,E,10,18000000.0
"Basundhara, K'",4.0,6,3.5,W,10,37000000.0
"Imadol, L'",3.3,6,2.5,N,12,21500000.0
"Budhanilkantha, K'",6.0,5,2.0,E,20,77000000.0
"Gokarneswhor, K'",4.0,8,4.5,W,11,27000000.0
"Kusunti, L'",5.2,4,2.5,SW,15,42500000.0
"Sitapaila, K'",4.0,5,2.5,E,10,22000000.0
"Balambu, K'",4.0,4,2.5,E,13,22500000.0
"Rai Chowk, K'",3.7,6,2.5,E,12,25000000.0
"Sainbu, L'",4.7,4,2.0,SW,13,35000000.0
"Sitapaila, K'",3.7,6,2.5,NE,10,30000000.0
"Ramkot, K'",3.2,6,2.5,W,16,26000000.0
"Swayambhu, K'",4.5,6,2.0,NE,13,38000000.0
"Sitapaila, K'",2.5,6,3.0,W,13,22000000.0
"Sitapaila, K'",2.5,4,3.0,W,10,20000000.0
"Sitapaila, K'",4.5,6,2.5,S,12,27500000.0
"Sitapaila, K'",3.8,4,4.0,W,14,35000000.0
"Thankot, K'",3.0,8,2.5,E,13,22000000.0
"Thankot, K'",3.0,4,2.5,W,12,16500000.0
"Thankot, K'",4.5,8,3.5,E,13,18500000.0
"Thankot, K'",3.1,3,3.5,E,13,11500000.0
"Thankot, K'",3.5,7,3.0,E,13,17000000.0
"Dhungedhara, K'",3.0,5,3.0,N,13,33000000.0
"Sano bharyang, K'",3.5,6,2.5,E,12,31000000.0
"Sitapaila, K'",3.1,5,3.5,SE,14,23500000.0
"Bafal, K'",3.2,6,2.5,S,13,45000000.0
"Sitapaila, K'",3.0,4,2.5,W,16,30000000.0
"Baniyatar, K'",6.0,6,2.5,SE,12,60000000.0
"Kimdol, K'",5.3,5,2.5,SW,13,61500000.0
"Dallu, K'",5.3,5,2.5,SW,13,50000000.0
"Sitapaila, K'",5.3,5,2.5,SW,16,38500000.0
"Sano bharyang, K'",3.2,9,4.0,S,20,36000000.0
"Bafal, K'",4.0,6,3.5,NW,13,28500000.0
"Chamati, K'",3.1,7,2.5,N,20,35500000.0
"Sitapaila, K'",6.0,7,2.5,SW,18,55000000.0
"Sitapaila, K'",7.0,6,2.5,W,13,42500000.0
"Swayambhu, K'",6.0,4,2.5,S,20,26700000.0
"Sitapaila, K'",2.2,3,2.5,S,10,22500000.0
"Ramkot, K'",4.0,6,2.5,S,12,28500000.0
"Kalimati, K'",5.3,4,2.5,S,13,38000000.0
"Ramkot, K'",7.2,9,2.5,E,16,42000000.0
"Gongabu, K'",2.2,6,2.5,N,12,24500000.0
"Sangam Basti, L'",6.0,5,2.5,N,13,68000000.0
"Bansbari, K'",4.0,7,2.5,SE,13,45000000.0
"Nagarjun, K'",3.1,7,2.5,N,12,29900000.0
"Nagarjun, K'",4.0,8,2.5,NW,13,37500000.0
"Dallu, K'",3.2,4,2.5,SW,20,28500000.0
"Nagarjun, K'",10.2,6,2.5,NW,14,60000000.0
"Thulo Bharayang, K'",4.2,7,3.5,NE,13,41500000.0
"Sitapaila, K'",8.0,8,2.5,E,13,42000000.0
"Nagarjun, K'",3.0,6,2.5,N,13,31500000.0
"Radha Krishna, K'",3.0,5,2.5,S,13,26500000.0
"Sano bharyang, K'",5.5,6,2.5,SW,13,37500000.0
"Buddha Chowk, K'",3.0,6,3.0,NW,12,22500000.0
"Sano bharyang, K'",3.1,5,2.5,W,13,26000000.0
"Chamati, K'",2.5,8,2.5,E,20,29500000.0
"Swayambhu, K'",4.0,4,2.0,N,16,33500000.0
"Nagarjun, K'",4.0,4,2.5,E,13,30000000.0
"Sitapaila, K'",6.7,9,3.0,W,10,38500000.0
"Imadol, L'",3.0,5,2.0,E,13,27500000.0
"Imadol, L'",3.0,6,2.5,N,13,27500000.0
"Imadol, L'",5.0,7,3.0,E,13,34500000.0
"Sano bharyang, K'",4.2,5,2.5,SE,20,49000000.0
"Chamati, K'",2.5,5,3.0,S,20,27000000.0
"Sorhakhutte, K'",2.3,12,3.0,E,7,25000000.0
"Imadol, L'",3.5,6,2.5,E,13,27500000.0
"Bhaisepati, L'",5.0,7,3.5,SW,13,38000000.0
"Sitapaila, K'",4.5,8,2.5,S,13,39000000.0
"Baneshwor, K'",5.3,3,2.5,S,8,33000000.0
"Budhanilkantha, K'",2.2,3,2.5,S,13,14500000.0
"Hattiban, L'",3.0,5,3.5,S,13,21500000.0
"Sorhakhutte, K'",7.0,9,2.5,SE,8,65000000.0
"Sitapaila, K'",3.5,4,2.5,SE,14,28500000.0
"Bafal, K'",4.0,4,2.5,S,14,41000000.0
"Nagarjun, K'",2.7,4,1.0,N,13,25500000.0
"Nagarjun, K'",3.0,6,2.5,E,13,32000000.0
"Chandragiri, K'",4.0,6,2.5,E,13,26500000.0
"Chandragiri, K'",5.0,6,2.5,E,13,23500000.0
"Chamati, K'",2.3,7,2.5,E,16,26500000.0
"Sano bharyang, K'",5.0,6,2.5,W,13,39800000.0
"Hattiban, L'",5.5,5,1.0,E,13,34000000.0
"Kaushaltar, B'",4.0,5,2.5,N,10,32000000.0
"Syuchatar, K'",4.0,5,3.5,NE,13,39500000.0
"Sitapaila, K'",3.7,6,3.5,NW,13,28500000.0
"Sitapaila, K'",3.0,6,2.0,SW,13,26000000.0
"Sano bharyang, K'",2.3,5,2.0,E,14,30000000.0
"Satungal, K'",3.0,5,2.5,NE,10,19500000.0
"Satungal, K'",2.3,5,2.5,NE,10,18500000.0
"Naikap, K'",8.0,11,2.5,NE,13,46500000.0
"Bhaisepati, L'",3.1,5,2.0,NE,13,29000000.0
"Gokarneswhor, K'",4.5,11,3.0,SE,12,35000000.0
"Hattiban, L'",2.3,4,1.5,S,13,21500000.0
"Godamchaur, L'",3.2,6,2.5,S,13,29000000.0
"Sano bharyang, K'",3.0,4,2.5,N,13,22500000.0
"Sitapaila, K'",3.2,5,2.5,W,13,28500000.0
"Sitapaila, K'",9.0,5,2.5,N,16,55000000.0
"Bafal, K'",4.2,4,2.5,N,20,40000000.0
"Kuleshwor, K'",7.0,7,2.5,N,22,75000000.0
"Chandragiri, K'",5.1,6,3.5,N,13,27000000.0
"Bhaisepati, L'",8.0,6,2.5,NE,10,60000000.0
"Bhaisepati, L'",3.3,4,2.5,SW,14,37500000.0
"Imadol, L'",3.1,5,2.0,SE,13,28500000.0
"Sitapaila, K'",8.0,5,2.5,S,16,60000000.0
"Nagarjun, K'",3.0,8,2.5,E,13,31000000.0
"Nagarjun, K'",2.2,4,2.0,E,13,27500000.0
"Bafal, K'",3.0,5,2.5,W,12,28500000.0
"Sitapaila, K'",3.0,6,2.5,N,16,22000000.0
"Bafal, K'",4.0,7,3.0,N,13,28500000.0
"Nagarjun, K'",3.0,6,2.5,N,13,20500000.0
"Nagarjun, K'",2.2,4,3.0,S,16,18000000.0
"Sitapaila, K'",3.5,4,2.5,SE,13,35000000.0
"Nagarjun, K'",3.8,4,2.5,SE,13,24000000.0
"Nakhu, L'",5.2,4,2.5,NE,13,39000000.0
"Nagarjun, K'",6.0,9,3.5,E,13,47000000.0
"Sitapaila, K'",7.2,5,2.5,NE,16,50000000.0
"Sitapaila, K'",5.0,4,2.5,SE,16,37500000.0
"Ramkot, K'",3.3,4,2.5,SW,13,24000000.0
"Dallu, K'",3.0,4,3.5,N,13,29500000.0
"Sitapaila, K'",4.5,6,2.5,NE,22,33500000.0
"Raniban, K'",4.2,6,3.5,SW,20,42500000.0
"Raniban, K'",4.3,3,2.5,E,20,42500000.0
"Sitapaila, K'",3.5,5,2.5,E,13,29000000.0
"Bafal, K'",4.0,5,3.5,SW,13,28500000.0
"Lolang, K'",4.1,6,2.5,SW,10,18500000.0
"Thulo Bharayang, K'",3.0,4,3.0,E,13,28000000.0
"Thulo Bharayang, K'",3.2,5,2.5,S,10,32500000.0
"Ramkot, K'",4.0,6,3.5,NE,26,30500000.0
"Tarakeshwar, K'",3.2,6,2.5,NW,20,36000000.0
"Sitapaila, K'",3.0,4,3.5,E,13,26000000.0
"Sitapaila, K'",4.0,5,2.5,E,15,26500000.0
"Sano bharyang, K'",5.0,8,4.0,SW,16,43000000.0
"Sitapaila, K'",4.0,6,2.5,W,16,30500000.0
"Golfutar, K'",8.0,7,5.0,N,14,77500000.0
"Sitapaila, K'",3.2,7,2.5,E,13,23500000.0
"Dallu, K'",4.0,7,3.0,S,13,46500000.0
"Syuchatar, K'",4.5,7,3.0,S,10,22000000.0
"Dallu, K'",4.0,6,3.0,S,13,40000000.0
"Banglamukhi, K'",3.2,7,2.5,E,16,29000000.0
"Sano bharyang, K'",3.2,4,2.5,SE,14,27500000.0
"Nagarjun, K'",3.0,4,3.5,E,12,20000000.0
"Raniban, K'",5.5,5,3.0,N,18,62000000.0
"Magargaun, L'",3.3,4,3.0,W,13,30000000.0
"Raniban, K'",3.0,3,2.5,W,13,30000000.0
"Raniban, K'",5.0,5,2.5,S,22,47500000.0
"Hattigauda, K'",7.0,7,2.5,SE,22,30000000.0
"Hattiban, L'",5.0,4,2.5,E,22,26000000.0
"Chandragiri, K'",4.0,4,2.5,NE,13,25500000.0
"Syuchatar, K'",4.0,5,2.5,N,14,22000000.0
"Budhanilkantha, K'",5.0,5,2.5,S,13,37500000.0
"Ramkot, K'",3.0,5,3.0,N,12,18500000.0
"Swayambhu, K'",2.7,6,2.5,N,12,25000000.0
"Sano bharyang, K'",3.1,6,2.5,S,13,25000000.0
"Sitapaila, K'",3.1,6,2.5,S,20,35000000.0
"Nakhipot, L'",3.7,4,2.5,W,18,28500000.0
"Gairgaun, K'",4.5,8,1.0,W,13,23500000.0
"Tokha, K'",3.0,3,2.5,SE,16,22500000.0
"Tokha, K'",4.0,6,2.5,NW,13,27000000.0
"Grande Hospital, K'",3.3,4,3.0,SW,16,37000000.0
"Khumaltar, L'",4.0,6,3.0,E,13,35000000.0
"Khumaltar, L'",3.5,6,2.5,S,16,25000000.0
"Jharuwarasi, L'",6.0,4,3.0,E,20,16000000.0
"Bafal, K'",3.0,6,2.5,N,12,35000000.0
"changu Narayan, K'",3.1,5,2.5,SE,12,27500000.0
"Sitapaila, K'",4.0,6,2.5,W,10,33000000.0
"Kapan, K'",4.6,5,2.5,SW,15,47500000.0
"Tarakeshwar, K'",5.0,7,2.5,SE,18,23000000.0
"Sano bharyang, K'",10.0,8,3.5,W,14,50000000.0
"Nepaltar, K'",5.3,6,3.5,W,13,36500000.0
"Dahachowk, K'",4.0,4,3.0,E,13,18500000.0
"Budhanilkantha, K'",7.5,5,2.5,NE,13,55000000.0
"Sano bharyang, K'",4.5,6,3.5,SW,13,31500000.0
"Sano bharyang, K'",3.3,4,2.5,NE,13,27000000.0
"Sitapaila, K'",3.5,3,2.5,S,12,28000000.0
"Sitapaila, K'",3.0,5,2.5,S,16,23000000.0
"Kusunti, L'",5.4,4,2.5,NW,16,36500000.0
"Mahankal, K'",4.3,6,1.0,E,16,23000000.0
"Sitapaila, K'",4.3,6,2.5,SE,16,24000000.0
"Dallu, K'",4.7,5,3.5,W,16,40000000.0
"Budhanilkantha, K'",6.0,5,2.5,N,16,45000000.0
"Sano bharyang, K'",3.5,4,2.0,S,12,30000000.0
"Budhanilkantha, K'",7.5,4,3.5,SW,16,55000000.0
"Halchowk, K'",4.5,5,2.5,S,13,36000000.0
"Sitapaila, K'",5.3,6,2.5,NE,13,31500000.0
"Dhapasi, K'",4.0,6,2.5,SW,13,25000000.0
"Sano bharyang, K'",4.3,5,2.5,E,13,34000000.0
"Chhauni, K'",4.6,5,3.0,SE,20,27000000.0
"Raniban, K'",4.5,5,2.5,W,20,30000000.0
"Satungal, K'",3.6,5,2.5,E,16,18000000.0
"Satungal, K'",3.6,5,2.5,E,12,18000000.0
"Thankot, K'",3.0,2,2.5,E,16,14000000.0
"Halchowk, K'",4.3,4,2.5,N,16,26000000.0
"Swayambhu, K'",4.0,5,2.5,N,13,34000000.0
"Tahachal, K'",4.5,7,2.5,NE,16,55000000.0
"Tahachal, K'",4.5,7,2.5,N,16,52500000.0
"Kalanki, K'",4.5,4,2.5,SW,16,30000000.0
"Raniban, K'",4.5,5,2.5,N,16,30000000.0
"Tarakeshwar, K'",4.5,5,2.5,N,16,21000000.0
"Sitapaila, K'",4.5,4,2.5,N,16,26000000.0
"Bhatbhateni, K'",4.5,3,3.0,S,16,30000000.0
"Syuchatar, K'",4.7,4,2.5,S,16,16000000.0
"Sano bharyang, K'",6.3,5,2.5,NW,16,35000000.0
"Budhanilkantha, K'",8.0,5,2.0,N,16,48000000.0
"Imadol, L'",4.0,5,3.0,W,12,29000000.0
"Satdobato, L'",3.0,5,4.5,W,10,47500000.0
"Imadol, L'",2.3,4,2.5,W,10,19900000.0
"Bhaisepati, L'",7.0,4,2.5,NW,12,40000000.0
"Bhaisepati, L'",3.2,4,2.5,NW,13,33000000.0
"Budhanilkantha, K'",4.3,5,2.5,NE,14,40000000.0
"Gyaneshwor, K'",2.2,13,5.5,W,10,45000000.0
"Bhaisepati, L'",5.0,5,3.0,E,12,30000000.0
"Imadol, L'",5.2,6,3.0,NE,13,49900000.0
"Kharibot, K'",3.0,4,2.5,S,16,24500000.0
"Bafal, K'",4.0,4,4.0,SE,13,25000000.0
"Khumaltar, L'",4.0,4,2.5,SE,20,42500000.0
"Bhaisepati, L'",6.2,4,2.5,SE,12,65000000.0
"Bhaisepati, L'",4.2,4,2.5,SW,13,36000000.0
"Khumaltar, L'",5.0,6,3.5,NW,14,58000000.0
"Bhaisepati, L'",3.2,5,3.5,SE,12,25000000.0
"Bhaisepati, L'",5.2,4,3.0,SE,16,48000000.0
"Tahachal, K'",4.1,4,3.0,N,20,66500000.0
"Thecho, L'",7.0,5,3.5,E,12,85000000.0
"Bhaisepati, L'",5.0,4,2.5,NE,12,55000000.0
"Bhaisepati, L'",3.1,4,2.5,S,20,47500000.0
"Imadol, L'",3.2,5,3.0,S,13,29500000.0
"Sanepa, L'",5.0,5,2.5,NW,10,63500000.0
"Bhaisepati, L'",7.0,5,2.5,W,13,85000000.0
"Bhaisepati, L'",7.0,4,2.5,E,26,64000000.0
"Sunakothi, L'",4.0,3,2.5,N,20,35000000.0
"Kapan, K'",3.0,6,2.5,S,16,22000000.0
"Dhobighat, L'",3.0,4,2.5,S,16,37500000.0
"Hattiban, L'",6.0,5,2.0,S,20,80000000.0
"Satdobato, L'",4.2,6,3.5,SE,13,55000000.0
"Bhaisepati, L'",3.3,4,2.5,SW,13,55000000.0
"Sanepa, L'",9.0,5,2.5,SW,20,77500000.0
"Imadol, L'",4.1,5,2.5,S,13,31900000.0
"Sitapaila, K'",3.0,4,2.5,W,13,25000000.0
"Bhaisepati, L'",6.4,5,2.5,NW,13,62500000.0
"Hattiban, L'",2.2,4,2.5,N,12,28000000.0
"Bhaisepati, L'",5.0,6,2.5,S,25,48000000.0
"Imadol, L'",3.1,5,3.0,N,13,25000000.0
"Sanepa, L'",5.0,4,2.5,W,19,33500000.0
"Sanepa, L'",5.0,4,2.5,NW,19,35000000.0
"Bhaisepati, L'",4.0,4,2.5,NE,18,40000000.0
"Nakhipot, L'",7.0,5,2.5,E,13,60000000.0
"Imadol, L'",3.5,4,2.5,W,12,25000000.0
"Imadol, L'",3.3,5,2.0,E,12,27000000.0
"Gwarko, L'",3.0,5,2.5,N,12,27500000.0
"Hattiban, L'",3.3,6,2.5,NE,15,32500000.0
"Hattiban, L'",3.1,5,2.0,SW,13,28000000.0
"Imadol, L'",3.2,6,3.0,W,12,31000000.0
"Baneshwor, K'",5.0,4,2.5,S,13,40000000.0
"Tokha, K'",6.0,3,2.5,N,15,35000000.0
