Location,Land Area,Bedrooms,Road Access,Land Area x Road Access,Facing,Price
"""Budhanilkantha, K""",3.5,9,13,45.5,NW,21000000
"""Budhanilkantha, K""",6,6,13,78,SE,34000000
"""Chandol, K""",1.75,6,14,24.5,SE,40000000
"""Budhanilkantha, K""",3,10,13,39,SW,16800000
"""Dhapakhel, L""",3,3,10,30,S,12500000
"""Balaju, K""",3.2,5,13,41.6,NW,14200000
"""Satdobato, L""",3,5,16,48,N,20000000
"""Sundarbasti, K""",3.2,5,13,41.6,E,19500000
"""Swayambhu, K""",3.1,4,18,55.8,S,21000000
"""Samakhusi, K""",3,6,10,30,N,22500000
"""Chabahil, K""",4,5,12,48,SW,37000000
"""Ramkot, K""",3,4,20,60,E,19000000
"""Sitapaila, K""",9,5,12,108,E,45000000
"""Tarakeshwar, K""",4,6,12,48,S,16500000
"""Gongabu, K""",4.2,10,10,42,W,29000000
"""Kadaghari, K""",3.2,6,13,41.6,SE,36000000
"""Pepsicola, K""",3.2,10,13,41.6,E,24000000
"""Kadaghari, K""",3,4,13,39,E,12000000
"""Joranku, K""",3.2,3,10,32,S,15000000
"""Sitapaila, K""",5,4,13,65,E,20000000
"""Imadol, L""",3,4,13,39,SE,16000000
"""Gongabu, K""",2.2,9,9,19.8,N,31000000
"""Samakhusi, K""",2.2,5,16,35.2,S,20500000
"""Bharyang, K""",4,4,12,48,E,26000000
"""Lazimpat, K""",4.6,3,20,92,S,17500000
"""Dhapakhel, L""",4,4,13,52,S,25000000
"""Budhanilkantha, K""",4,3,18,72,SW,28500000
"""Lubhu, L""",5,4,13,65,SE,14500000
"""Sundarbasti, K""",5,6,13,65,SE,27500000
"""Chabahil, K""",4.5,10,20,90,W,35000000
"""Syuchatar, K""",3,5,20,60,N,20000000
"""Tripureshwor, K""",8.5,3,13,110.5,SE,25000000
"""Balkhu, K""",9,7,10,90,S,49500000
"""Kirtipur, K""",6,4,20,120,SE,18000000
"""Hattisar, K""",3,6,20,60,W,43500000
"""Lokanthali, B""",7.1,14,14,99.4,E,35000000
"""Bharyang, K""",6,3,20,120,NW,70000000
"""Kalanki, K""",7,8,14,98,E,41500000
"""Thapathali, K""",4,5,14,56,E,40100000
"""Mulpani, K""",3,5,10,30,N,16500000
"""Dhapasi, K""",5,4,15,75,W,26000000
"""Harisiddhi, L""",7.1,8,10,71,E,33000000
"""Hattigauda, K""",7,4,13,91,E,55000000
"""Jhamsikhel, L""",2,2,20,40,E,12500000
"""Bhaisepati, L""",1.9,3,28,53.2,NW,13000000
"""Lokanthali, B""",7,6,18,126,NE,35000000
"""Sitapaila, K""",2.5,4,13,32.5,NE,12000000
"""Budhanilkantha, K""",8,5,12,96,E,27000000
