Location,Land Area,Bedrooms,Road Access,Land Area x Road Access,Facing,Price
"""Golfutar, K""",7,4,20,140,E,35000000
"""Basundhara, K""",5,4,15,75,E,36500000
"""Hattigauda, K""",5,4,15,75,SE,37500000
"""Tokha, K""",3.1,4,12,37.2,E,25000000
"""Budhanilkantha, K""",4,4,14,56,E,24000000
"""Basundhara, K""",4.75,4,15,71.25,E,35500000
"""Hattigauda, K""",5.5,4,15,82.5,E,35500000
"""Tokha, K""",4,4,13,52,E,29500000
"""Kapan, K""",4.5,4,14,63,SE,28000000
"""Dhapasi, K""",5,4,15,75,E,35000000
"""Golfutar, K""",9,4,20,180,SE,55000000
"""Maharajgunj, K""",8,4,14,112,SE,55000000
"""Samakhusi, K""",5,6,15,75,E,35000000
"""Budhanilkantha, K""",6,5,15,90,NE,36000000
"""Kapan, K""",4,4,14,56,NE,26000000
"""Golfutar, K""",9,5,16,144,SE,47500000
"""Kapan, K""",3.2,5,13,41.6,E,18200000
"""Kapan, K""",4,6,14,56,E,26000000
"""Swayambhu, K""",7,5,14,98,E,39000000
"""Hattigauda, K""",5.5,5,13,71.5,NW,33500000
"""Basundhara, K""",7,5,14,98,E,39900000
"""Mandikhatar, K""",4,8,20,80,SE,32500000
"""Budhanilkantha, K""",5,5,14,70,S,29000000
"""Budhanilkantha, K""",6,5,13,78,E,36000000
"""Golfutar, K""",9,4,15,135,E,47500000
"""Imadol, L""",2,5,13,26,W,15000000
"""Imadol, L""",3,6,13,39,N,20000000
"""Samakhusi, K""",3.5,6,13,45.5,NW,23000000
"""Imadol, L""",3,5,13,39,W,18500000
"""Hattigauda, K""",4,6,22,88,NE,24500000
"""Bhangal, K""",4,6,18,72,E,23800000
"""Budhanilkantha, K""",4.5,5,14,63,SW,31000000
"""Tokha, K""",4,6,13,52,S,29000000
"""Maharajgunj, K""",8,5,15,120,S,56000000
"""Maharajgunj, K""",9,5,20,180,SE,67500000
"""Samakhusi, K""",3.75,6,13,48.75,E,37500000
"""Samakhusi, K""",4.75,6,13,61.75,E,35000000
"""Imadol, L""",3,5,20,60,E,22000000
"""Imadol, L""",3,5,13,39,E,19500000
"""Lubhu, L""",3,5,20,60,S,17000000
"""Imadol, L""",3,6,16,48,S,17500000
"""Imadol, L""",3,5,13,39,SE,17500000
"""Naikap, K""",6,11,11,66,S,22000000
"""Narephate, K""",3,5,13,39,E,22000000
"""Nagarjun, K""",3.1,5,15,46.5,N,17500000
"""Tokha, K""",4,4,12,48,E,21000000
"""Imadol, L""",3,4,13,39,S,17000000
"""Imadol, L""",3,8,13,39,S,17000000
"""Imadol, L""",3,10,13,39,S,22000000
"""Tarakeshwar, K""",4,2,13,52,NE,11500000
"""Imadol, L""",3.5,4,13,45.5,S,19700000
"""Baniyatar, K""",4,6,20,80,E,29000000
"""Hattigauda, K""",5.5,6,13,71.5,E,45000000
"""Golfutar, K""",7,4,30,210,W,36000000
"""Hattigauda, K""",5.5,5,13,71.5,NW,35500000
"""Bharyang, K""",2.75,3,13,35.75,SW,24100000
"""Budhanilkantha, K""",7.5,5,20,150,E,40000000
"""Thaiba, L""",3,3,20,60,S,20000000
"""Imadol, L""",3.1,5,13,40.3,W,18000000
"""Gongabu, K""",3.2,4,13,41.6,N,26000000
"""Dhapasi, K""",3.5,5,13,45.5,E,25500000
"""Chapali, K""",3.5,5,15,52.5,E,68000000
"""Mandikhatar, K""",3,6,13,39,W,18200000
"""Bhangal, K""",3.1,6,12,37.2,SW,19900000
"""Baluwatar, K""",6,5,13,78,NE,60000000
"""Ekatabasti, K""",4,7,13,52,SW,29900000
"""Ekatabasti, K""",5,7,13,65,SE,29900000
"""Dhapasi, K""",5,4,20,100,NE,33500000
"""Balkhu, K""",4.5,3,20,90,E,23000000
"""Swayambhu, K""",3.1,5,13,40.3,NE,20600000
"""Manohara, K""",4,5,26,104,W,26000000
"""Budhanilkantha, K""",7,4,15,105,SE,45000000
"""Guheshwori, K""",4,8,16,64,NE,28500000
"""Imadol, L""",2.3,2,13,29.9,E,11000000
"""Imadol, L""",3.1,4,20,62,E,19200000
"""Ekatabasti, K""",5.5,5,13,71.5,E,36000000
"""Sitapaila, K""",3.1,4,13,40.3,N,18000000
"""Tokha, K""",4,6,13,52,E,23000000
"""Mandikhatar, K""",3.14,6,13,40.82,SE,19900000
"""Samakhusi, K""",4,7,14,56,E,40000000
"""Bhangal, K""",3.5,5,13,45.5,S,21500000
"""Dhumbarahi, K""",8,7,13,104,E,62000000
"""Budhanilkantha, K""",5.5,4,15,82.5,E,32500000
"""Golfutar, K""",7,4,15,105,E,35000000
"""Budhanilkantha, K""",4.2,4,14,58.8,E,31000000
"""Sukedhara, K""",3.3,4,18,59.4,E,32500000
"""Mandikhatar, K""",3.1,4,15,46.5,E,20000000
"""Golfutar, K""",4,4,30,120,E,32500000
"""Budhanilkantha, K""",5,10,15,75,N,22000000
"""Budhanilkantha, K""",6,4,33,198,E,35000000
"""Banasthali, K""",5,7,16,80,S,37000000
"""Imadol, L""",3,2,5,15,W,6500000
"""Ekatabasti, K""",4.5,7,13,58.5,E,27500000
"""Golfutar, K""",3,6,13,39,E,18000000
"""Kusunti, L""",5.2,4,13,67.6,NW,38500000
"""Mulpani, K""",4,4,22,88,E,35000000
"""Pepsicola, K""",2.5,4,13,32.5,SE,13500000
"""Kapan, K""",2.05,6,12,24.6,E,32500000
"""Satdobato, L""",10,3,20,200,E,70000000
"""Shantinagar, K""",9.2,4,20,184,E,70000000
"""Imadol, L""",2.3,3,10,23,NE,13500000
"""Imadol, L""",3,2,12,36,NE,12000000
"""Mandikhatar, K""",5,6,13,65,E,27800000
"""Golfutar, K""",10,6,20,200,E,56000000
"""Budhanilkantha, K""",8.1,6,15,121.5,SE,44500000
"""Banasthali, K""",3,8,10,30,S,19000000
"""Kadaghari, K""",2.2,3,4,8.8,N,7500000
"""Imadol, L""",3.3,7,13,42.9,S,22500000
"""Baneshwor, K""",7,7,10,70,SE,50000000
"""Balaju, K""",3,7,13,39,N,25000000
"""Kaushaltar, B""",7.2,5,15,108,E,30000000
"""Bansbari, K""",5,2,13,65,S,28000000
"""Bhangal, K""",3.5,5,13,45.5,E,21500000
